system_A,system_B,strategy_A,strategy_B,rule_A,rule_B,OV_mean_A,OV_mean_B,delta_OV,hw_bonferroni,lower,upper,df,ci_level_ind,significant,A_better,B_better
S2-FCFS,S2-Bailey-Welch,2,2,FCFS,Bailey-Welch,0.421067,0.418244,0.002823,0.000365,0.002458,0.003188,59,0.998214,True,False,True
S2-FCFS,S2-Blocking,2,2,FCFS,Blocking,0.421067,0.433854,-0.012786,0.000400,-0.013186,-0.012387,59,0.998214,True,True,False
S2-FCFS,S2-Benchmarking,2,2,FCFS,Benchmarking,0.421067,0.419766,0.001302,0.000249,0.001052,0.001551,59,0.998214,True,False,True
S2-FCFS,S3-FCFS,2,3,FCFS,FCFS,0.421067,0.415220,0.005847,0.001613,0.004235,0.007460,59,0.998214,True,False,True
S2-FCFS,S3-Bailey-Welch,2,3,FCFS,Bailey-Welch,0.421067,0.412747,0.008320,0.001535,0.006785,0.009856,59,0.998214,True,False,True
S2-FCFS,S3-Blocking,2,3,FCFS,Blocking,0.421067,0.417299,0.003769,0.001592,0.002177,0.005361,59,0.998214,True,False,True
S2-FCFS,S3-Benchmarking,2,3,FCFS,Benchmarking,0.421067,0.413849,0.007219,0.001618,0.005601,0.008836,59,0.998214,True,False,True
S2-Bailey-Welch,S2-Blocking,2,2,Bailey-Welch,Blocking,0.418244,0.433854,-0.015609,0.000299,-0.015908,-0.015311,59,0.998214,True,True,False
S2-Bailey-Welch,S2-Benchmarking,2,2,Bailey-Welch,Benchmarking,0.418244,0.419766,-0.001521,0.000398,-0.001919,-0.001124,59,0.998214,True,True,False
S2-Bailey-Welch,S3-FCFS,2,3,Bailey-Welch,FCFS,0.418244,0.415220,0.003024,0.001628,0.001397,0.004652,59,0.998214,True,False,True
S2-Bailey-Welch,S3-Bailey-Welch,2,3,Bailey-Welch,Bailey-Welch,0.418244,0.412747,0.005497,0.001517,0.003980,0.007015,59,0.998214,True,False,True
S2-Bailey-Welch,S3-Blocking,2,3,Bailey-Welch,Blocking,0.418244,0.417299,0.000946,0.001583,-0.000638,0.002529,59,0.998214,False,False,False
S2-Bailey-Welch,S3-Benchmarking,2,3,Bailey-Welch,Benchmarking,0.418244,0.413849,0.004396,0.001624,0.002771,0.006020,59,0.998214,True,False,True
S2-Blocking,S2-Benchmarking,2,2,Blocking,Benchmarking,0.433854,0.419766,0.014088,0.000439,0.013649,0.014527,59,0.998214,True,False,True
S2-Blocking,S3-FCFS,2,3,Blocking,FCFS,0.433854,0.415220,0.018633,0.001647,0.016986,0.020280,59,0.998214,True,False,True
S2-Blocking,S3-Bailey-Welch,2,3,Blocking,Bailey-Welch,0.433854,0.412747,0.021107,0.001539,0.019568,0.022645,59,0.998214,True,False,True
S2-Blocking,S3-Blocking,2,3,Blocking,Blocking,0.433854,0.417299,0.016555,0.001587,0.014968,0.018141,59,0.998214,True,False,True
S2-Blocking,S3-Benchmarking,2,3,Blocking,Benchmarking,0.433854,0.413849,0.020005,0.001645,0.018360,0.021650,59,0.998214,True,False,True
S2-Benchmarking,S3-FCFS,2,3,Benchmarking,FCFS,0.419766,0.415220,0.004546,0.001656,0.002890,0.006202,59,0.998214,True,False,True
S2-Benchmarking,S3-Bailey-Welch,2,3,Benchmarking,Bailey-Welch,0.419766,0.412747,0.007019,0.001577,0.005442,0.008596,59,0.998214,True,False,True
S2-Benchmarking,S3-Blocking,2,3,Benchmarking,Blocking,0.419766,0.417299,0.002467,0.001635,0.000832,0.004103,59,0.998214,True,False,True
S2-Benchmarking,S3-Benchmarking,2,3,Benchmarking,Benchmarking,0.419766,0.413849,0.005917,0.001637,0.004279,0.007554,59,0.998214,True,False,True
S3-FCFS,S3-Bailey-Welch,3,3,FCFS,Bailey-Welch,0.415220,0.412747,0.002473,0.000325,0.002148,0.002799,59,0.998214,True,False,True
S3-FCFS,S3-Blocking,3,3,FCFS,Blocking,0.415220,0.417299,-0.002078,0.000351,-0.002429,-0.001727,59,0.998214,True,True,False
S3-FCFS,S3-Benchmarking,3,3,FCFS,Benchmarking,0.415220,0.413849,0.001371,0.000230,0.001141,0.001602,59,0.998214,True,False,True
S3-Bailey-Welch,S3-Blocking,3,3,Bailey-Welch,Blocking,0.412747,0.417299,-0.004552,0.000290,-0.004842,-0.004261,59,0.998214,True,True,False
S3-Bailey-Welch,S3-Benchmarking,3,3,Bailey-Welch,Benchmarking,0.412747,0.413849,-0.001102,0.000374,-0.001475,-0.000728,59,0.998214,True,True,False
S3-Blocking,S3-Benchmarking,3,3,Blocking,Benchmarking,0.417299,0.413849,0.003450,0.000382,0.003068,0.003831,59,0.998214,True,False,True
