system_A,system_B,strategy_A,strategy_B,rule_A,rule_B,OV_mean_A,OV_mean_B,delta_OV,hw_bonferroni,lower,upper,df,ci_level_ind,significant,A_better,B_better
S2-FCFS,S2-Bailey-Welch,2,2,FCFS,Bailey-Welch,0.398524,0.395932,0.002592,0.000063,0.002529,0.002655,599,0.998214,True,False,True
S2-FCFS,S2-Blocking,2,2,FCFS,Blocking,0.398524,0.406354,-0.007831,0.000077,-0.007908,-0.007753,599,0.998214,True,True,False
S2-FCFS,S2-Benchmarking,2,2,FCFS,Benchmarking,0.398524,0.397182,0.001342,0.000037,0.001305,0.001380,599,0.998214,True,False,True
S2-FCFS,S3-FCFS,2,3,FCFS,FCFS,0.398524,0.409293,-0.010769,0.000524,-0.011294,-0.010245,599,0.998214,True,True,False
S2-FCFS,S3-Bailey-Welch,2,3,FCFS,Bailey-Welch,0.398524,0.406314,-0.007790,0.000526,-0.008316,-0.007264,599,0.998214,True,True,False
S2-FCFS,S3-Blocking,2,3,FCFS,Blocking,0.398524,0.411233,-0.012709,0.000526,-0.013235,-0.012182,599,0.998214,True,True,False
S2-FCFS,S3-Benchmarking,2,3,FCFS,Benchmarking,0.398524,0.407958,-0.009434,0.000523,-0.009957,-0.008911,599,0.998214,True,True,False
S2-Bailey-Welch,S2-Blocking,2,2,Bailey-Welch,Blocking,0.395932,0.406354,-0.010423,0.000078,-0.010500,-0.010345,599,0.998214,True,True,False
S2-Bailey-Welch,S2-Benchmarking,2,2,Bailey-Welch,Benchmarking,0.395932,0.397182,-0.001250,0.000068,-0.001318,-0.001182,599,0.998214,True,True,False
S2-Bailey-Welch,S3-FCFS,2,3,Bailey-Welch,FCFS,0.395932,0.409293,-0.013361,0.000524,-0.013885,-0.012837,599,0.998214,True,True,False
S2-Bailey-Welch,S3-Bailey-Welch,2,3,Bailey-Welch,Bailey-Welch,0.395932,0.406314,-0.010382,0.000522,-0.010904,-0.009860,599,0.998214,True,True,False
S2-Bailey-Welch,S3-Blocking,2,3,Bailey-Welch,Blocking,0.395932,0.411233,-0.015301,0.000525,-0.015825,-0.014776,599,0.998214,True,True,False
S2-Bailey-Welch,S3-Benchmarking,2,3,Bailey-Welch,Benchmarking,0.395932,0.407958,-0.012026,0.000523,-0.012548,-0.011503,599,0.998214,True,True,False
S2-Blocking,S2-Benchmarking,2,2,Blocking,Benchmarking,0.406354,0.397182,0.009173,0.000081,0.009092,0.009254,599,0.998214,True,False,True
S2-Blocking,S3-FCFS,2,3,Blocking,FCFS,0.406354,0.409293,-0.002939,0.000526,-0.003465,-0.002412,599,0.998214,True,True,False
S2-Blocking,S3-Bailey-Welch,2,3,Blocking,Bailey-Welch,0.406354,0.406314,0.000041,0.000525,-0.000484,0.000566,599,0.998214,False,False,False
S2-Blocking,S3-Blocking,2,3,Blocking,Blocking,0.406354,0.411233,-0.004878,0.000523,-0.005402,-0.004355,599,0.998214,True,True,False
S2-Blocking,S3-Benchmarking,2,3,Blocking,Benchmarking,0.406354,0.407958,-0.001603,0.000525,-0.002128,-0.001078,599,0.998214,True,True,False
S2-Benchmarking,S3-FCFS,2,3,Benchmarking,FCFS,0.397182,0.409293,-0.012112,0.000527,-0.012639,-0.011584,599,0.998214,True,True,False
S2-Benchmarking,S3-Bailey-Welch,2,3,Benchmarking,Bailey-Welch,0.397182,0.406314,-0.009132,0.000529,-0.009661,-0.008603,599,0.998214,True,True,False
S2-Benchmarking,S3-Blocking,2,3,Benchmarking,Blocking,0.397182,0.411233,-0.014051,0.000529,-0.014580,-0.013522,599,0.998214,True,True,False
S2-Benchmarking,S3-Benchmarking,2,3,Benchmarking,Benchmarking,0.397182,0.407958,-0.010776,0.000524,-0.011300,-0.010252,599,0.998214,True,True,False
S3-FCFS,S3-Bailey-Welch,3,3,FCFS,Bailey-Welch,0.409293,0.406314,0.002980,0.000065,0.002915,0.003045,599,0.998214,True,False,True
S3-FCFS,S3-Blocking,3,3,FCFS,Blocking,0.409293,0.411233,-0.001939,0.000067,-0.002007,-0.001872,599,0.998214,True,True,False
S3-FCFS,S3-Benchmarking,3,3,FCFS,Benchmarking,0.409293,0.407958,0.001336,0.000037,0.001298,0.001373,599,0.998214,True,False,True
S3-Bailey-Welch,S3-Blocking,3,3,Bailey-Welch,Blocking,0.406314,0.411233,-0.004919,0.000060,-0.004979,-0.004859,599,0.998214,True,True,False
S3-Bailey-Welch,S3-Benchmarking,3,3,Bailey-Welch,Benchmarking,0.406314,0.407958,-0.001644,0.000070,-0.001714,-0.001574,599,0.998214,True,True,False
S3-Blocking,S3-Benchmarking,3,3,Blocking,Benchmarking,0.411233,0.407958,0.003275,0.000071,0.003204,0.003346,599,0.998214,True,False,True
