urgent_slots,strategy,rule,rule_name,n_batches,elAppWT_mean,elAppWT_hw,elAppWT_lower,elAppWT_upper,elScanWT_mean,elScanWT_hw,elScanWT_lower,elScanWT_upper,urScanWT_mean,urScanWT_hw,urScanWT_lower,urScanWT_upper,OT_mean,OT_hw,OT_lower,OT_upper,OV_mean,OV_hw,OV_lower,OV_upper
19,2,1,FCFS,58,1109.834369,161.387088,948.447281,1271.221457,0.073936,0.000494,0.073442,0.074429,1.964056,0.011716,1.952340,1.975773,0.872566,0.012117,0.860449,0.884683,6.824385,0.960598,5.863788,7.784983
19,2,2,Bailey-Welch,58,1109.713055,161.355909,948.357146,1271.068964,0.173204,0.000863,0.172341,0.174067,1.909564,0.011652,1.897913,1.921216,0.824519,0.012190,0.812329,0.836709,6.817609,0.960411,5.857198,7.778019
19,2,3,Blocking,58,1110.867375,161.389011,949.478364,1272.256386,0.180083,0.000510,0.179573,0.180592,2.061675,0.011549,2.050126,2.073224,0.862382,0.012044,0.850338,0.874426,6.841381,0.960619,5.880762,7.802000
19,2,4,Benchmarking,58,1109.811746,161.386407,948.425339,1271.198154,0.075537,0.000496,0.075040,0.076033,1.947765,0.011728,1.936037,1.959493,0.860286,0.012105,0.848181,0.872391,6.822441,0.960594,5.861847,7.783034
19,3,1,FCFS,58,1109.801527,161.386866,948.414661,1271.188392,0.075342,0.000497,0.074845,0.075839,1.861387,0.013166,1.848221,1.874553,0.696486,0.011790,0.684696,0.708276,6.812782,0.960495,5.852287,7.773277
19,3,2,Bailey-Welch,58,1110.747932,161.387225,949.360707,1272.135158,0.180738,0.000869,0.179869,0.181608,1.804575,0.013178,1.791397,1.817753,0.650816,0.011820,0.638996,0.662636,6.812103,0.960486,5.851618,7.772589
19,3,3,Blocking,58,1110.857502,161.388827,949.468675,1272.246329,0.181925,0.000506,0.181418,0.182431,1.847622,0.013156,1.834466,1.860778,0.686815,0.011750,0.675065,0.698566,6.817538,0.960500,5.857038,7.778038
19,3,4,Benchmarking,58,1109.778927,161.386185,948.392741,1271.165112,0.076876,0.000498,0.076378,0.077375,1.844351,0.013160,1.831191,1.857512,0.684403,0.011779,0.672625,0.696182,6.810755,0.960491,5.850263,7.771246
20,1,1,FCFS,58,3218.591535,485.437425,2733.154110,3704.028960,0.083833,0.000429,0.083404,0.084262,2.445311,0.012215,2.433096,2.457527,0.399608,0.009855,0.389753,0.409464,19.429984,2.889314,16.540670,22.319299
20,1,2,Bailey-Welch,58,3219.525013,485.443320,2734.081693,3704.968332,0.184312,0.000706,0.183606,0.185018,2.369006,0.012278,2.356728,2.381283,0.366445,0.009838,0.356607,0.376284,19.427062,2.889351,16.537711,22.316413
20,1,3,Blocking,58,3219.639177,485.443367,2734.195810,3705.082543,0.190116,0.000444,0.189672,0.190560,2.430627,0.012283,2.418344,2.442910,0.394526,0.009843,0.384683,0.404369,19.434589,2.889358,16.545231,22.323946
20,1,4,Benchmarking,58,3218.566536,485.437425,2733.129111,3704.003960,0.084627,0.000429,0.084198,0.085056,2.427004,0.012237,2.414767,2.439240,0.392965,0.009845,0.383120,0.402811,19.427801,2.889313,16.538488,22.317114
20,2,1,FCFS,58,3217.693388,485.425512,2732.267877,3703.118900,0.072646,0.000544,0.072102,0.073191,1.890862,0.011459,1.879403,1.902321,0.856373,0.012426,0.843947,0.868799,19.363033,2.889411,16.473621,22.252444
20,2,2,Bailey-Welch,58,3218.033550,485.431460,2732.602090,3703.465010,0.173151,0.000857,0.172294,0.174008,1.839705,0.011520,1.828185,1.851225,0.810782,0.012420,0.798362,0.823202,19.359373,2.889455,16.469918,22.248828
20,2,3,Blocking,58,3218.716148,485.431403,2733.284746,3704.147551,0.180006,0.000500,0.179506,0.180507,1.994216,0.011218,1.982998,2.005434,0.846357,0.012470,0.833887,0.858827,19.380604,2.889457,16.491147,22.270062
20,2,4,Benchmarking,58,3217.668389,485.425512,2732.242877,3703.093900,0.074351,0.000549,0.073802,0.074901,1.874837,0.011481,1.863356,1.886317,0.844221,0.012418,0.831802,0.856639,19.361103,2.889413,16.471690,22.250517
20,3,1,FCFS,58,3218.219186,485.431491,2732.787695,3703.650676,0.074525,0.000490,0.074035,0.075015,1.798365,0.012906,1.785459,1.811271,0.668260,0.011975,0.656286,0.680235,19.355885,2.889352,16.466533,22.245237
20,3,2,Bailey-Welch,58,3218.573292,485.431402,2733.141890,3704.004694,0.180327,0.000771,0.179556,0.181098,1.743030,0.012910,1.730120,1.755940,0.626041,0.011867,0.614175,0.637908,19.351844,2.889356,16.462488,22.241201
20,3,3,Blocking,58,3218.687577,485.431403,2733.256175,3704.118980,0.182241,0.000497,0.181744,0.182738,1.784690,0.012811,1.771879,1.797502,0.658652,0.011929,0.646724,0.670581,19.357154,2.889362,16.467792,22.246515
20,3,4,Benchmarking,58,3218.194186,485.431491,2732.762695,3703.625677,0.076078,0.000495,0.075582,0.076573,1.781380,0.012920,1.768461,1.794300,0.656394,0.011982,0.644412,0.668375,19.353849,2.889354,16.464495,22.243203
