urgent_slots,strategy,rule,rule_name,n_batches,elAppWT_mean,elAppWT_hw,elAppWT_lower,elAppWT_upper,elScanWT_mean,elScanWT_hw,elScanWT_lower,elScanWT_upper,urScanWT_mean,urScanWT_hw,urScanWT_lower,urScanWT_upper,OT_mean,OT_hw,OT_lower,OT_upper,OV_mean,OV_hw,OV_lower,OV_upper
12,1,3,Blocking,58,17.620811,0.637530,16.983281,18.258340,0.183520,0.000675,0.182845,0.184195,3.124359,0.014194,3.110165,3.138553,0.816741,0.013275,0.803466,0.830016,0.452037,0.004360,0.447677,0.456397
12,1,4,Benchmarking,58,17.125425,0.638828,16.486597,17.764253,0.082434,0.000523,0.081911,0.082957,3.093834,0.014246,3.079587,3.108080,0.814525,0.013214,0.801311,0.827739,0.445696,0.004363,0.441334,0.450059
12,2,1,FCFS,58,16.563393,0.631216,15.932178,17.194609,0.079862,0.000451,0.079411,0.080312,2.699716,0.014093,2.685623,2.713808,1.131243,0.013273,1.117970,1.144516,0.398560,0.004402,0.394158,0.402962
12,2,2,Bailey-Welch,58,17.198743,0.633133,16.565610,17.831877,0.182587,0.000771,0.181816,0.183359,2.643856,0.014224,2.629632,2.658079,1.081785,0.013447,1.068337,1.095232,0.396135,0.004414,0.391721,0.400549
12,2,3,Blocking,58,17.165050,0.631042,16.534008,17.796092,0.181397,0.000569,0.180828,0.181966,2.738851,0.014108,2.724743,2.752959,1.121661,0.013376,1.108285,1.135037,0.406490,0.004398,0.402092,0.410888
12,2,4,Benchmarking,58,16.637238,0.633038,16.004199,17.270276,0.081221,0.000450,0.080772,0.081671,2.684440,0.014124,2.670316,2.698564,1.119402,0.013285,1.106117,1.132687,0.397302,0.004412,0.392890,0.401715
12,3,1,FCFS,58,16.427216,0.632000,15.795216,17.059216,0.075729,0.000475,0.075254,0.076205,2.805747,0.013348,2.792399,2.819095,1.222059,0.012523,1.209535,1.234582,0.409531,0.004310,0.405221,0.413840
12,3,2,Bailey-Welch,58,17.042439,0.633875,16.408564,17.676314,0.163372,0.000766,0.162606,0.164137,2.746386,0.013308,2.733077,2.759694,1.165062,0.012657,1.152406,1.177719,0.406597,0.004314,0.402283,0.410912
12,3,3,Blocking,58,16.976675,0.637472,16.339203,17.614146,0.177704,0.000566,0.177139,0.178270,2.794046,0.013435,2.780611,2.807480,1.213499,0.012628,1.200871,1.226127,0.411501,0.004344,0.407157,0.415845
12,3,4,Benchmarking,58,16.494969,0.634897,15.860072,17.129866,0.077020,0.000482,0.076537,0.077502,2.790672,0.013349,2.777323,2.804020,1.210014,0.012533,1.197480,1.222547,0.408259,0.004325,0.403934,0.412584
