urgent_slots,strategy,rule,rule_name,slot_cluster,label,OV_mean,OV_hw,delta_OV,hw_delta_OV,sig_OV,slot_cluster_ord
14,1,4,Benchmarking,Low (10-14),S1 - Benchmarking,0.449848,0.007438,-0.000538,0.010502,False,Low (10-14)
14,2,1,FCFS,Low (10-14),S2 - FCFS,0.403439,0.007443,-0.046947,0.010505,True,Low (10-14)
14,2,2,Bailey-Welch,Low (10-14),S2 - Bailey-Welch,0.400874,0.007448,-0.049511,0.010509,True,Low (10-14)
14,2,3,Blocking,Low (10-14),S2 - Blocking,0.416019,0.007424,-0.034367,0.010492,True,Low (10-14)
14,2,4,Benchmarking,Low (10-14),S2 - Benchmarking,0.402163,0.007481,-0.048223,0.010532,True,Low (10-14)
14,3,1,FCFS,Low (10-14),S3 - FCFS,0.406481,0.007349,-0.043904,0.010439,True,Low (10-14)
14,3,2,Bailey-Welch,Low (10-14),S3 - Bailey-Welch,0.404311,0.007340,-0.046075,0.010433,True,Low (10-14)
14,3,3,Blocking,Low (10-14),S3 - Blocking,0.408508,0.007364,-0.041877,0.010450,True,Low (10-14)
14,3,4,Benchmarking,Low (10-14),S3 - Benchmarking,0.405246,0.007379,-0.045139,0.010460,True,Low (10-14)
15,1,1,FCFS,Medium (15-17),S1 - FCFS,0.467385,0.011559,0.017000,0.013733,True,Medium (15-17)
15,1,2,Bailey-Welch,Medium (15-17),S1 - Bailey-Welch,0.463266,0.011592,0.012880,0.013760,False,Medium (15-17)
15,1,3,Blocking,Medium (15-17),S1 - Blocking,0.469690,0.011595,0.019304,0.013763,True,Medium (15-17)
15,1,4,Benchmarking,Medium (15-17),S1 - Benchmarking,0.465964,0.011623,0.015578,0.013786,True,Medium (15-17)
15,2,1,FCFS,Medium (15-17),S2 - FCFS,0.419982,0.011564,-0.030403,0.013737,True,Medium (15-17)
15,2,2,Bailey-Welch,Medium (15-17),S2 - Bailey-Welch,0.417171,0.011540,-0.033215,0.013716,True,Medium (15-17)
15,2,3,Blocking,Medium (15-17),S2 - Blocking,0.432774,0.011578,-0.017612,0.013748,True,Medium (15-17)
15,2,4,Benchmarking,Medium (15-17),S2 - Benchmarking,0.418682,0.011633,-0.031703,0.013795,True,Medium (15-17)
15,3,1,FCFS,Medium (15-17),S3 - FCFS,0.414189,0.011516,-0.036196,0.013696,True,Medium (15-17)
15,3,2,Bailey-Welch,Medium (15-17),S3 - Bailey-Welch,0.411698,0.011510,-0.038688,0.013691,True,Medium (15-17)
15,3,3,Blocking,Medium (15-17),S3 - Blocking,0.416261,0.011538,-0.034125,0.013715,True,Medium (15-17)
15,3,4,Benchmarking,Medium (15-17),S3 - Benchmarking,0.412814,0.011570,-0.037572,0.013741,True,Medium (15-17)
16,1,1,FCFS,Medium (15-17),S1 - FCFS,0.504241,0.020628,0.053855,0.021920,True,Medium (15-17)
16,1,2,Bailey-Welch,Medium (15-17),S1 - Bailey-Welch,0.499898,0.020645,0.049513,0.021936,True,Medium (15-17)
16,1,3,Blocking,Medium (15-17),S1 - Blocking,0.506515,0.020673,0.056130,0.021962,True,Medium (15-17)
16,1,4,Benchmarking,Medium (15-17),S1 - Benchmarking,0.502795,0.020722,0.052410,0.022008,True,Medium (15-17)
