SECTION,Factorial Results — mean and 95% CI per KPI
urgent_slots,strategy,rule,rule_name,n_batches,elAppWT_mean,elScanWT_mean,urScanWT_mean,OT_mean,OV_mean,elAppWT_hw,elScanWT_hw,urScanWT_hw,OT_hw,OV_hw,elAppWT_lower,elScanWT_lower,urScanWT_lower,OT_lower,OV_lower,elAppWT_upper,elScanWT_upper,urScanWT_upper,OT_upper,OV_upper
12,1,3,Blocking,58,17.620811,0.183520,3.124359,0.816741,0.452037,0.637530,0.000675,0.014194,0.013275,0.004360,16.983281,0.182845,3.110165,0.803466,0.447677,18.258340,0.184195,3.138553,0.830016,0.456397
12,1,4,Benchmarking,58,17.125425,0.082434,3.093834,0.814525,0.445696,0.638828,0.000523,0.014246,0.013214,0.004363,16.486597,0.081911,3.079587,0.801311,0.441334,17.764253,0.082957,3.108080,0.827739,0.450059
12,2,1,FCFS,58,16.563393,0.079862,2.699716,1.131243,0.398560,0.631216,0.000451,0.014093,0.013273,0.004402,15.932178,0.079411,2.685623,1.117970,0.394158,17.194609,0.080312,2.713808,1.144516,0.402962
12,2,2,Bailey-Welch,58,17.198743,0.182587,2.643856,1.081785,0.396135,0.633133,0.000771,0.014224,0.013447,0.004414,16.565610,0.181816,2.629632,1.068337,0.391721,17.831877,0.183359,2.658079,1.095232,0.400549
12,2,3,Blocking,58,17.165050,0.181397,2.738851,1.121661,0.406490,0.631042,0.000569,0.014108,0.013376,0.004398,16.534008,0.180828,2.724743,1.108285,0.402092,17.796092,0.181966,2.752959,1.135037,0.410888
12,2,4,Benchmarking,58,16.637238,0.081221,2.684440,1.119402,0.397302,0.633038,0.000450,0.014124,0.013285,0.004412,16.004199,0.080772,2.670316,1.106117,0.392890,17.270276,0.081671,2.698564,1.132687,0.401715
12,3,1,FCFS,58,16.427216,0.075729,2.805747,1.222059,0.409531,0.632000,0.000475,0.013348,0.012523,0.004310,15.795216,0.075254,2.792399,1.209535,0.405221,17.059216,0.076205,2.819095,1.234582,0.413840
12,3,2,Bailey-Welch,58,17.042439,0.163372,2.746386,1.165062,0.406597,0.633875,0.000766,0.013308,0.012657,0.004314,16.408564,0.162606,2.733077,1.152406,0.402283,17.676314,0.164137,2.759694,1.177719,0.410912
12,3,3,Blocking,58,16.976675,0.177704,2.794046,1.213499,0.411501,0.637472,0.000566,0.013435,0.012628,0.004344,16.339203,0.177139,2.780611,1.200871,0.407157,17.614146,0.178270,2.807480,1.226127,0.415845
12,3,4,Benchmarking,58,16.494969,0.077020,2.790672,1.210014,0.408259,0.634897,0.000482,0.013349,0.012533,0.004325,15.860072,0.076537,2.777323,1.197480,0.403934,17.129866,0.077502,2.804020,1.222547,0.412584
13,1,1,FCFS,58,19.288827,0.082235,2.980876,0.812847,0.446023,0.827559,0.000484,0.014191,0.013267,0.005450,18.461268,0.081751,2.966686,0.799579,0.440573,20.116386,0.082719,2.995067,0.826114,0.451473
13,1,2,Bailey-Welch,58,19.945325,0.174850,2.909275,0.762473,0.441975,0.829977,0.000835,0.014132,0.013321,0.005447,19.115348,0.174016,2.895142,0.749151,0.436528,20.775302,0.175685,2.923407,0.775794,0.447422
13,1,3,Blocking,58,19.832532,0.183068,2.983053,0.806044,0.449501,0.829383,0.000628,0.014301,0.013316,0.005469,19.003148,0.182441,2.968752,0.792728,0.444032,20.661915,0.183696,2.997353,0.819361,0.454970
13,1,4,Benchmarking,58,19.363168,0.083018,2.964487,0.803079,0.444644,0.832928,0.000481,0.014179,0.013256,0.005474,18.530240,0.082537,2.950308,0.789823,0.439170,20.196096,0.083498,2.978666,0.816335,0.450119
13,2,1,FCFS,58,18.787904,0.079227,2.573817,1.117760,0.397812,0.830484,0.000496,0.014181,0.013376,0.005580,17.957419,0.078731,2.559636,1.104384,0.392232,19.618388,0.079724,2.587998,1.131136,0.403393
13,2,2,Bailey-Welch,58,19.421195,0.179464,2.516855,1.067003,0.395253,0.827732,0.000800,0.014228,0.013456,0.005561,18.593463,0.178664,2.502627,1.053547,0.389692,20.248927,0.180264,2.531084,1.080458,0.400814
13,2,3,Blocking,58,19.380211,0.179813,2.633547,1.108841,0.407975,0.827298,0.000568,0.014207,0.013396,0.005558,18.552914,0.179246,2.619340,1.095445,0.402416,20.207509,0.180381,2.647754,1.122238,0.413533
13,2,4,Benchmarking,58,18.861614,0.080558,2.558363,1.105692,0.396534,0.833637,0.000489,0.014176,0.013382,0.005590,18.027977,0.080069,2.544188,1.092310,0.390944,19.695250,0.081047,2.572539,1.119074,0.402124
13,3,1,FCFS,58,18.670057,0.076580,2.642933,1.195273,0.404791,0.829350,0.000529,0.013350,0.012588,0.005356,17.840708,0.076050,2.629583,1.182685,0.399434,19.499407,0.077109,2.656283,1.207861,0.410147
13,3,2,Bailey-Welch,58,19.291136,0.170494,2.586201,1.140914,0.402184,0.827367,0.000852,0.013336,0.012661,0.005343,18.463768,0.169642,2.572865,1.128254,0.396841,20.118503,0.171345,2.599537,1.153575,0.407527
13,3,3,Blocking,58,19.225609,0.178020,2.631440,1.187440,0.406820,0.832179,0.000569,0.013398,0.012676,0.005368,18.393431,0.177451,2.618042,1.174764,0.401453,20.057788,0.178589,2.644837,1.200117,0.412188
13,3,4,Benchmarking,58,18.739925,0.077974,2.627831,1.183266,0.403528,0.832363,0.000521,0.013399,0.012636,0.005371,17.907562,0.077453,2.614432,1.170630,0.398157,19.572288,0.078495,2.641230,1.195902,0.408899
14,1,1,FCFS,58,22.574555,0.082578,2.851101,0.800763,0.451161,1.173395,0.000527,0.014141,0.013277,0.007382,21.401160,0.082051,2.836960,0.787485,0.443780,23.747950,0.083106,2.865242,0.814040,0.458543
14,1,2,Bailey-Welch,58,23.253309,0.176367,2.780040,0.750530,0.447306,1.179793,0.000807,0.014124,0.013319,0.007413,22.073516,0.175560,2.765916,0.737212,0.439892,24.433102,0.177174,2.794164,0.763849,0.454719
14,1,3,Blocking,58,23.138538,0.182215,2.839476,0.794245,0.453227,1.179731,0.000622,0.014171,0.013313,0.007422,21.958807,0.181593,2.825305,0.780932,0.445804,24.318269,0.182837,2.853646,0.807558,0.460649
14,1,4,Benchmarking,58,22.661690,0.083351,2.834610,0.791062,0.449848,1.183817,0.000525,0.014161,0.013281,0.007438,21.477874,0.082825,2.820449,0.777781,0.442409,23.845507,0.083876,2.848771,0.804343,0.457286
14,2,1,FCFS,58,22.071683,0.078367,2.448536,1.103977,0.403439,1.176759,0.000508,0.013798,0.013393,0.007443,20.894924,0.077859,2.434738,1.090584,0.395996,23.248441,0.078875,2.462334,1.117370,0.410881
14,2,2,Bailey-Welch,58,22.721240,0.175863,2.390659,1.052312,0.400874,1.176531,0.000811,0.013849,0.013443,0.007448,21.544709,0.175052,2.376809,1.038869,0.393426,23.897772,0.176675,2.404508,1.065755,0.408322
14,2,3,Blocking,58,22.668002,0.178095,2.529811,1.095671,0.416019,1.173002,0.000595,0.013727,0.013470,0.007424,21.494999,0.177499,2.516084,1.082201,0.408595,23.841004,0.178690,2.543538,1.109141,0.423442
14,2,4,Benchmarking,58,22.150453,0.079674,2.432833,1.091842,0.402163,1.184529,0.000507,0.013820,0.013408,0.007481,20.965924,0.079167,2.419013,1.078434,0.394682,23.334982,0.080181,2.446653,1.105250,0.409644
14,3,1,FCFS,58,21.944023,0.077028,2.482759,1.168549,0.406481,1.177591,0.000564,0.013094,0.012580,0.007349,20.766431,0.076464,2.469665,1.155968,0.399132,23.121614,0.077592,2.495853,1.181129,0.413830
14,3,2,Bailey-Welch,58,22.570114,0.177296,2.429683,1.117336,0.404311,1.174845,0.000914,0.013171,0.012610,0.007340,21.395269,0.176381,2.416512,1.104726,0.396971,23.744958,0.178210,2.442854,1.129946,0.411651
14,3,3,Blocking,58,22.498356,0.177944,2.471306,1.160651,0.408508,1.180701,0.000646,0.013164,0.012598,0.007364,21.317654,0.177298,2.458142,1.148053,0.401144,23.679057,0.178591,2.484470,1.173249,0.415873
14,3,4,Benchmarking,58,22.019382,0.078553,2.467608,1.156446,0.405246,1.183854,0.000567,0.013123,0.012591,0.007379,20.835528,0.077986,2.454485,1.143854,0.397867,23.203236,0.079121,2.480730,1.169037,0.412626
15,1,1,FCFS,58,28.046326,0.082938,2.703986,0.649870,0.467385,1.903934,0.000489,0.013517,0.011492,0.011559,26.142391,0.082449,2.690469,0.638379,0.455826,29.950260,0.083427,2.717503,0.661362,0.478945
15,1,2,Bailey-Welch,58,28.726496,0.177709,2.630473,0.598934,0.463266,1.913115,0.000890,0.013439,0.011643,0.011592,26.813381,0.176819,2.617034,0.587291,0.451674,30.639610,0.178599,2.643912,0.610577,0.474858
15,1,3,Blocking,58,28.663051,0.183794,2.691686,0.643497,0.469690,1.911644,0.000590,0.013574,0.011551,0.011595,26.751407,0.183204,2.678112,0.631947,0.458095,30.574694,0.184384,2.705259,0.655048,0.481284
15,1,4,Benchmarking,58,28.128843,0.083738,2.686772,0.639983,0.465964,1.917064,0.000499,0.013488,0.011508,0.011623,26.211778,0.083239,2.673284,0.628476,0.454341,30.045907,0.084237,2.700261,0.651491,0.477587
15,2,1,FCFS,58,27.367770,0.077458,2.313707,1.010560,0.419982,1.899572,0.000483,0.013211,0.012477,0.011564,25.468198,0.076976,2.300496,0.998083,0.408418,29.267342,0.077941,2.326918,1.023037,0.431546
15,2,2,Bailey-Welch,58,28.008759,0.173186,2.254069,0.958083,0.417171,1.896321,0.000699,0.013166,0.012530,0.011540,26.112438,0.172487,2.240903,0.945554,0.405631,29.905081,0.173885,2.267235,0.970613,0.428711
15,2,3,Blocking,58,27.997531,0.178612,2.395096,1.002089,0.432774,1.897526,0.000534,0.013195,0.012589,0.011578,26.100005,0.178078,2.381901,0.989500,0.421196,29.895057,0.179146,2.408292,1.014678,0.444352
15,2,4,Benchmarking,58,27.452498,0.078750,2.297470,0.998173,0.418682,1.913039,0.000488,0.013227,0.012492,0.011633,25.539459,0.078262,2.284243,0.985681,0.407049,29.365537,0.079238,2.310697,1.010664,0.430316
15,3,1,FCFS,58,27.342996,0.076661,2.262900,0.970717,0.414189,1.905066,0.000546,0.012555,0.011490,0.011516,25.437930,0.076115,2.250345,0.959227,0.402673,29.248061,0.077207,2.275455,0.982207,0.425705
15,3,2,Bailey-Welch,58,27.960521,0.178011,2.207394,0.918864,0.411698,1.903680,0.000836,0.012723,0.011638,0.011510,26.056841,0.177175,2.194671,0.907226,0.400187,29.864201,0.178846,2.220117,0.930501,0.423208
15,3,3,Blocking,58,27.913565,0.178781,2.250976,0.962792,0.416261,1.908916,0.000585,0.012657,0.011601,0.011538,26.004649,0.178196,2.238319,0.951191,0.404723,29.822481,0.179367,2.263633,0.974393,0.427799
15,3,4,Benchmarking,58,27.408560,0.078241,2.247007,0.958437,0.412814,1.914695,0.000543,0.012600,0.011524,0.011570,25.493865,0.077698,2.234407,0.946913,0.401244,29.323256,0.078784,2.259607,0.969961,0.424383
16,1,1,FCFS,58,36.878524,0.083413,2.562530,0.505919,0.504241,3.470209,0.000492,0.012665,0.009817,0.020628,33.408314,0.082922,2.549866,0.496102,0.483613,40.348733,0.083905,2.575195,0.515736,0.524869
16,1,2,Bailey-Welch,58,37.563845,0.179069,2.486735,0.454319,0.499898,3.476772,0.000858,0.012599,0.010016,0.020645,34.087073,0.178212,2.474136,0.444304,0.479253,41.040617,0.179927,2.499334,0.464335,0.520543
16,1,3,Blocking,58,37.510945,0.185274,2.549124,0.499182,0.506515,3.481294,0.000582,0.012680,0.009913,0.020673,34.029651,0.184692,2.536445,0.489269,0.485842,40.992238,0.185856,2.561804,0.509095,0.527188
16,1,4,Benchmarking,58,36.967669,0.084200,2.544745,0.496008,0.502795,3.488104,0.000499,0.012684,0.009837,0.020722,33.479566,0.083700,2.532061,0.486171,0.482073,40.455773,0.084699,2.557429,0.505844,0.523517
16,2,1,FCFS,58,36.209884,0.076733,2.176939,0.916271,0.457417,3.467729,0.000462,0.012758,0.012314,0.020559,32.742155,0.076271,2.164181,0.903957,0.436858,39.677613,0.077195,2.189697,0.928586,0.477976
16,2,2,Bailey-Welch,58,36.857277,0.170441,2.115751,0.863558,0.454472,3.465802,0.000725,0.012721,0.012418,0.020545,33.391475,0.169715,2.103030,0.851140,0.433927,40.323079,0.171166,2.128472,0.875975,0.475017
16,2,3,Blocking,58,36.836987,0.179068,2.257852,0.907364,0.470140,3.462029,0.000559,0.012528,0.012324,0.020547,33.374958,0.178509,2.245325,0.895041,0.449593,40.299016,0.179627,2.270380,0.919688,0.490687
16,2,4,Benchmarking,58,36.295189,0.078041,2.160393,0.903994,0.456086,3.485862,0.000477,0.012761,0.012311,0.020665,32.809327,0.077564,2.147633,0.891683,0.435421,39.781050,0.078519,2.173154,0.916305,0.476752
16,3,1,FCFS,58,36.167777,0.076673,2.047200,0.776232,0.442751,3.471147,0.000488,0.013028,0.011776,0.020649,32.696630,0.076186,2.034173,0.764455,0.422102,39.638924,0.077161,2.060228,0.788008,0.463400
16,3,2,Bailey-Welch,58,36.785650,0.178821,1.988967,0.723894,0.439959,3.465076,0.000853,0.013105,0.011927,0.020606,33.320575,0.177967,1.975862,0.711967,0.419353,40.250726,0.179674,2.002072,0.735822,0.460564
16,3,3,Blocking,58,36.745179,0.179870,2.034323,0.768019,0.444757,3.470903,0.000595,0.013073,0.011825,0.020643,33.274276,0.179275,2.021251,0.756193,0.424114,40.216082,0.180465,2.047396,0.779844,0.465400
16,3,4,Benchmarking,58,36.238954,0.078230,2.030546,0.764040,0.441324,3.481687,0.000492,0.013074,0.011802,0.020706,32.757267,0.077738,2.017471,0.752238,0.420618,39.720641,0.078722,2.043620,0.775841,0.462030
17,1,1,FCFS,58,56.888053,0.083704,2.534126,0.480211,0.620189,7.090344,0.000461,0.012270,0.010088,0.042058,49.797709,0.083243,2.521856,0.470123,0.578130,63.978397,0.084166,2.546396,0.490299,0.662247
17,1,2,Bailey-Welch,58,57.542490,0.180759,2.457676,0.432489,0.615590,7.080194,0.000869,0.012243,0.010074,0.041990,50.462296,0.179890,2.445432,0.422416,0.573600,64.622685,0.181628,2.469919,0.442563,0.657580
17,1,3,Blocking,58,57.529940,0.186709,2.520240,0.473649,0.622467,7.090741,0.000558,0.012352,0.010136,0.042053,50.439199,0.186151,2.507888,0.463513,0.580414,64.620681,0.187266,2.532593,0.483785,0.664519
17,1,4,Benchmarking,58,56.993274,0.084460,2.516044,0.470992,0.618806,7.097357,0.000457,0.012283,0.010075,0.042090,49.895917,0.084003,2.503761,0.460917,0.576716,64.090630,0.084918,2.528327,0.481068,0.660896
17,2,1,FCFS,58,56.162472,0.076072,2.106388,0.902136,0.568344,7.081723,0.000481,0.012360,0.012369,0.042028,49.080749,0.075591,2.094028,0.889767,0.526316,63.244195,0.076552,2.118749,0.914505,0.610372
17,2,2,Bailey-Welch,58,56.794958,0.171862,2.047480,0.851085,0.565563,7.083169,0.000715,0.012425,0.012451,0.042028,49.711789,0.171147,2.035054,0.838635,0.523535,63.878127,0.172577,2.059905,0.863536,0.607591
17,2,3,Blocking,58,56.760882,0.179725,2.192776,0.893068,0.581504,7.069288,0.000515,0.012130,0.012303,0.041990,49.691594,0.179210,2.180646,0.880765,0.539514,63.830169,0.180240,2.204906,0.905371,0.623494
17,2,4,Benchmarking,58,56.256507,0.077492,2.089897,0.889972,0.567071,7.091131,0.000495,0.012366,0.012348,0.042079,49.165376,0.076997,2.077531,0.877623,0.524992,63.347638,0.077987,2.102262,0.902320,0.609150
17,3,1,FCFS,58,56.163818,0.076460,1.985475,0.750131,0.554917,7.081014,0.000519,0.012963,0.011877,0.041992,49.082803,0.075941,1.972512,0.738253,0.512925,63.244832,0.076979,1.998439,0.762008,0.596908
17,3,2,Bailey-Welch,58,56.778936,0.179584,1.927458,0.699644,0.552132,7.068222,0.000823,0.012975,0.011976,0.041910,49.710713,0.178761,1.914483,0.687668,0.510221,63.847158,0.180408,1.940433,0.711620,0.594042
17,3,3,Blocking,58,56.749013,0.180709,1.972493,0.741398,0.556958,7.075831,0.000557,0.012918,0.011853,0.041953,49.673182,0.180152,1.959576,0.729545,0.515004,63.824844,0.181266,1.985411,0.753252,0.598911
17,3,4,Benchmarking,58,56.250870,0.077970,1.968717,0.737982,0.553573,7.086414,0.000517,0.012979,0.011886,0.042021,49.164456,0.077453,1.955738,0.726096,0.511552,63.337285,0.078488,1.981696,0.749868,0.595593
18,1,1,FCFS,58,155.373248,0.083986,2.506218,0.453833,1.203309,32.649863,0.000487,0.012407,0.010039,0.194119,122.723385,0.083499,2.493811,0.443794,1.009190,188.023111,0.084473,2.518626,0.463872,1.397429
18,1,2,Bailey-Welch,58,155.975416,0.182997,2.429274,0.410843,1.198344,32.623079,0.000921,0.012295,0.009998,0.193960,123.352337,0.182076,2.416979,0.400845,1.004384,188.598495,0.183918,2.441569,0.420841,1.392305
18,1,3,Blocking,58,156.015407,0.188264,2.492130,0.447832,1.205566,32.634712,0.000578,0.012558,0.009996,0.194028,123.380694,0.187686,2.479572,0.437835,1.011538,188.650119,0.188842,2.504687,0.457828,1.399595
18,1,4,Benchmarking,58,155.469884,0.084748,2.487796,0.445304,1.201838,32.637543,0.000503,0.012390,0.010032,0.194043,122.832341,0.084246,2.475406,0.435272,1.007795,188.107427,0.085251,2.500187,0.455336,1.395881
18,2,1,FCFS,58,154.275787,0.075006,2.036505,0.887089,1.144587,32.596971,0.000494,0.012257,0.012439,0.193712,121.678816,0.074513,2.024249,0.874650,0.950874,186.872758,0.075500,2.048762,0.899528,1.338299
18,2,2,Bailey-Welch,58,154.946339,0.172363,1.979456,0.837372,1.142239,32.569333,0.000801,0.012313,0.012447,0.193543,122.377005,0.171563,1.967143,0.824924,0.948696,187.515672,0.173164,1.991769,0.849819,1.335782
