final_rank,label,urgent_slots,strategy,rule,rule_name,OV_mean,OV_lower95,OV_upper95,elAppWT_mean,urScanWT_mean,elScanWT_mean,elScanWT_lower95,elScanWT_upper95,OT_mean,OT_lower95,OT_upper95,n_batches,rank_OV,rank_elScanWT,rank_OT
1,15 slots | S3 - Bailey-Welch,15,3,2,Bailey-Welch,0.41169767,0.40018726,0.42320807,27.96052079,2.20739395,0.17801052,0.17717458,0.17884646,0.91886362,0.90722588,0.93050137,58,1,6,1
2,15 slots | S3 - Benchmarking,15,3,4,Benchmarking,0.41281362,0.40124389,0.42438335,27.40856033,2.24700684,0.07824085,0.07769805,0.07878365,0.95843706,0.94691322,0.96996090,58,2,3,3
3,15 slots | S3 - FCFS,15,3,1,FCFS,0.41418927,0.40267324,0.42570529,27.34299556,2.26290005,0.07666127,0.07611515,0.07720738,0.97071671,0.95922653,0.98220689,58,3,1,5
4,15 slots | S3 - Blocking,15,3,3,Blocking,0.41626060,0.40472250,0.42779870,27.91356503,2.25097585,0.17878145,0.17819623,0.17936667,0.96279191,0.95119133,0.97439250,58,4,7,4
5,15 slots | S2 - Bailey-Welch,15,2,2,Bailey-Welch,0.41717090,0.40563106,0.42871075,28.00875933,2.25406886,0.17318608,0.17248688,0.17388529,0.95808330,0.94555358,0.97061302,58,5,5,2
6,15 slots | S2 - Benchmarking,15,2,4,Benchmarking,0.41868217,0.40704874,0.43031561,27.45249822,2.29747002,0.07874977,0.07826160,0.07923793,0.99817265,0.98568084,1.01066446,58,6,4,6
7,15 slots | S2 - FCFS,15,2,1,FCFS,0.41998200,0.40841750,0.43154649,27.36777030,2.31370741,0.07745836,0.07697560,0.07794113,1.01055976,0.99808264,1.02303688,58,7,2,7
