ranking,design,strategy,slots,rule,xbar_n0,s2_n0,N_required,xbar_N,s2_N,mean_elAppWT,mean_urScanWT,mean_OT,mean_OV_weekly,n_weeks_post_warmup
1,S2-12-rule2,2,12,2,0.3964980744000627,8.595422172791321e-05,21,0.39621182666761146,7.306206056101376e-05,17.24802128236842,2.6444815294736843,1.0814267228947367,0.39649807440006263,3800
2,S2-14-rule2,2,14,2,0.40143771810933576,0.00031069720174976487,21,0.4009698228263837,0.00023929634978268037,22.795650071842108,2.3917439234210525,1.052048047368421,0.40143771810933576,3800
3,S2-12-rule3,2,12,3,0.4068543667345447,8.524215625838683e-05,21,0.40656644502078604,7.231360720472057e-05,17.21380125842105,2.739521376052632,1.1213078015789473,0.40685436673454467,3800
4,S2-14-rule3,2,14,3,0.41657176182278616,0.0003090617842077163,21,0.416109648484085,0.00023794230451512085,22.741841970789476,2.530832893684211,1.0954017213157896,0.41657176182278616,3800
5,S1-14-rule1,1,14,1,0.4517075949587511,0.0002951119514887231,21,0.45125375555398084,0.00023808568900498712,22.649841821842106,2.8519839713157893,0.8000577255263158,0.451707594958751,3800
