design,strategy,slots,rule,mean_elAppWT,mean_urScanWT,mean_OT,mean_OV,n_weeks
S2-12-rule2,2,12,2,16.86947401891892,2.6379921405405407,1.0756787378378379,0.3935237736647361,740
S2-14-rule2,2,14,2,22.293013475862068,2.4011545620689656,1.0544336068965519,0.39949146012588943,1160
S2-12-rule3,2,12,3,16.861922932432435,2.731168498648649,1.1147893216216216,0.4038317554000429,740
S2-14-rule3,2,14,3,22.213556309482755,2.5395574370689653,1.096884217241379,0.4143965980244253,1160
