system_A,system_B,strategy_A,strategy_B,rule_A,rule_B,OV_mean_A,OV_mean_B,delta_OV,hw_bonferroni,lower,upper,df,ci_level_ind,significant,A_better,B_better
S2-FCFS,S2-Bailey-Welch,2,2,FCFS,Bailey-Welch,0.546315,0.543663,0.002652,0.000159,0.002493,0.002811,599,0.998214,True,False,True
S2-FCFS,S2-Blocking,2,2,FCFS,Blocking,0.546315,0.559881,-0.013566,0.000181,-0.013747,-0.013385,599,0.998214,True,True,False
S2-FCFS,S2-Benchmarking,2,2,FCFS,Benchmarking,0.546315,0.544963,0.001352,0.000124,0.001228,0.001476,599,0.998214,True,False,True
S2-FCFS,S3-FCFS,2,3,FCFS,FCFS,0.546315,0.532558,0.013756,0.000514,0.013243,0.014270,599,0.998214,True,False,True
S2-FCFS,S3-Bailey-Welch,2,3,FCFS,Bailey-Welch,0.546315,0.530060,0.016255,0.000512,0.015743,0.016767,599,0.998214,True,False,True
S2-FCFS,S3-Blocking,2,3,FCFS,Blocking,0.546315,0.534856,0.011459,0.000518,0.010941,0.011977,599,0.998214,True,False,True
S2-FCFS,S3-Benchmarking,2,3,FCFS,Benchmarking,0.546315,0.531141,0.015174,0.000528,0.014646,0.015702,599,0.998214,True,False,True
S2-Bailey-Welch,S2-Blocking,2,2,Bailey-Welch,Blocking,0.543663,0.559881,-0.016218,0.000178,-0.016396,-0.016040,599,0.998214,True,True,False
S2-Bailey-Welch,S2-Benchmarking,2,2,Bailey-Welch,Benchmarking,0.543663,0.544963,-0.001300,0.000181,-0.001482,-0.001119,599,0.998214,True,True,False
S2-Bailey-Welch,S3-FCFS,2,3,Bailey-Welch,FCFS,0.543663,0.532558,0.011104,0.000527,0.010577,0.011632,599,0.998214,True,False,True
S2-Bailey-Welch,S3-Bailey-Welch,2,3,Bailey-Welch,Bailey-Welch,0.543663,0.530060,0.013603,0.000512,0.013090,0.014115,599,0.998214,True,False,True
S2-Bailey-Welch,S3-Blocking,2,3,Bailey-Welch,Blocking,0.543663,0.534856,0.008807,0.000523,0.008284,0.009330,599,0.998214,True,False,True
S2-Bailey-Welch,S3-Benchmarking,2,3,Bailey-Welch,Benchmarking,0.543663,0.531141,0.012522,0.000537,0.011985,0.013059,599,0.998214,True,False,True
S2-Blocking,S2-Benchmarking,2,2,Blocking,Benchmarking,0.559881,0.544963,0.014918,0.000198,0.014720,0.015116,599,0.998214,True,False,True
S2-Blocking,S3-FCFS,2,3,Blocking,FCFS,0.559881,0.532558,0.027322,0.000526,0.026796,0.027848,599,0.998214,True,False,True
S2-Blocking,S3-Bailey-Welch,2,3,Blocking,Bailey-Welch,0.559881,0.530060,0.029820,0.000510,0.029310,0.030331,599,0.998214,True,False,True
S2-Blocking,S3-Blocking,2,3,Blocking,Blocking,0.559881,0.534856,0.025025,0.000499,0.024526,0.025524,599,0.998214,True,False,True
S2-Blocking,S3-Benchmarking,2,3,Blocking,Benchmarking,0.559881,0.531141,0.028740,0.000532,0.028208,0.029272,599,0.998214,True,False,True
S2-Benchmarking,S3-FCFS,2,3,Benchmarking,FCFS,0.544963,0.532558,0.012405,0.000525,0.011879,0.012930,599,0.998214,True,False,True
S2-Benchmarking,S3-Bailey-Welch,2,3,Benchmarking,Bailey-Welch,0.544963,0.530060,0.014903,0.000523,0.014380,0.015426,599,0.998214,True,False,True
S2-Benchmarking,S3-Blocking,2,3,Benchmarking,Blocking,0.544963,0.534856,0.010107,0.000526,0.009581,0.010633,599,0.998214,True,False,True
S2-Benchmarking,S3-Benchmarking,2,3,Benchmarking,Benchmarking,0.544963,0.531141,0.013822,0.000519,0.013304,0.014341,599,0.998214,True,False,True
S3-FCFS,S3-Bailey-Welch,3,3,FCFS,Bailey-Welch,0.532558,0.530060,0.002498,0.000155,0.002343,0.002653,599,0.998214,True,False,True
S3-FCFS,S3-Blocking,3,3,FCFS,Blocking,0.532558,0.534856,-0.002298,0.000177,-0.002474,-0.002121,599,0.998214,True,True,False
S3-FCFS,S3-Benchmarking,3,3,FCFS,Benchmarking,0.532558,0.531141,0.001418,0.000121,0.001296,0.001539,599,0.998214,True,False,True
S3-Bailey-Welch,S3-Blocking,3,3,Bailey-Welch,Blocking,0.530060,0.534856,-0.004796,0.000131,-0.004926,-0.004665,599,0.998214,True,True,False
S3-Bailey-Welch,S3-Benchmarking,3,3,Bailey-Welch,Benchmarking,0.530060,0.531141,-0.001081,0.000180,-0.001260,-0.000901,599,0.998214,True,True,False
S3-Blocking,S3-Benchmarking,3,3,Blocking,Benchmarking,0.534856,0.531141,0.003715,0.000190,0.003525,0.003906,599,0.998214,True,False,True
