week,elAppWT,elScanWT,urScanWT,OT
0,54.090813,0.093943,2.249482,1.084888
1,58.306025,0.083758,3.725385,1.444665
2,67.553709,0.085505,2.014601,0.896127
3,69.401905,0.064498,2.440654,1.103485
4,64.185049,0.084167,2.079895,0.810828
5,65.037267,0.075163,2.049400,1.094789
6,64.040602,0.091336,2.597416,1.410760
7,57.084516,0.072105,2.443054,0.621874
8,54.518590,0.079205,2.150573,0.688624
9,49.756342,0.090172,2.229738,0.728794
10,44.968002,0.075571,2.740494,1.019970
11,44.093362,0.076315,2.098095,0.726891
12,43.586833,0.080759,2.514981,1.020627
13,36.077272,0.065165,2.294159,0.705998
14,27.414669,0.062695,2.291835,0.752486
15,35.054950,0.092094,2.094877,0.735595
16,30.811869,0.082447,3.826551,1.233181
17,22.845308,0.073799,2.346163,1.357258
18,21.081504,0.083830,2.626816,0.578311
19,26.898562,0.085586,2.711464,1.132226
20,24.944544,0.093754,2.699791,1.388962
21,10.940919,0.057862,1.962935,0.277413
22,14.002419,0.077233,2.476424,1.136702
23,12.907065,0.055042,2.106895,1.009216
24,27.285086,0.071181,2.372961,1.177561
25,18.192008,0.077176,1.797328,0.534930
26,15.048018,0.120482,2.191684,1.100829
27,17.695844,0.065207,3.291190,1.020106
28,16.604554,0.090494,1.491892,0.354168
29,19.564275,0.104571,2.367485,1.137288
30,19.550577,0.068504,2.432222,1.092906
31,22.564592,0.099763,2.689418,1.368712
32,26.281597,0.065439,2.450119,1.185357
33,31.530588,0.108808,2.242555,1.120845
34,21.231885,0.086274,2.673177,1.443685
35,25.031459,0.103028,2.305437,0.691416
36,21.778662,0.077620,1.942424,0.684756
37,24.119220,0.082039,1.853540,0.596350
38,21.035277,0.081309,1.883245,0.601343
39,22.220992,0.075039,2.109727,1.007470
40,12.273340,0.069755,1.585917,0.471510
41,9.486019,0.073201,2.129947,0.990262
42,10.494817,0.101707,2.215583,0.912333
43,7.666800,0.066909,2.498838,1.670997
44,10.206656,0.092996,2.182699,0.951044
45,14.467332,0.065975,2.146503,0.868444
46,11.405672,0.088820,2.050455,0.697394
47,10.159513,0.069056,2.092427,0.692209
48,12.416264,0.099895,1.922696,0.858070
49,9.080725,0.061914,2.542079,1.056067
50,15.239705,0.087667,2.960449,1.102405
51,22.456827,0.059170,2.384059,1.017192
52,22.587155,0.099985,2.295875,1.147092
53,36.631459,0.061808,2.185784,0.707820
54,26.078364,0.070313,2.439508,1.422301
55,24.377764,0.070639,1.953296,0.705281
56,25.631403,0.070650,2.933109,1.780072
57,25.833622,0.061736,2.277555,0.908079
58,39.132371,0.072342,3.385354,1.507013
59,42.657666,0.049041,1.787011,0.839351
60,37.177779,0.082028,1.607450,0.603219
61,53.326462,0.093957,2.982418,1.900396
62,72.164254,0.053491,1.726067,0.320603
63,62.866776,0.063383,2.414091,1.007851
64,45.804547,0.065585,2.193751,0.652087
65,45.812534,0.101391,2.330660,1.136757
66,30.828527,0.087203,2.436513,1.678144
67,22.115838,0.096723,1.942088,0.658874
68,33.919089,0.103175,2.449569,0.781365
69,33.655537,0.084022,1.782586,0.615476
70,31.905580,0.102266,2.699167,0.878564
71,33.060982,0.052009,2.152433,0.655305
72,16.041646,0.064496,2.134462,0.911028
73,14.465629,0.061344,2.238771,1.702941
74,16.020476,0.087335,2.391492,0.980410
75,13.055447,0.071695,1.591176,0.299382
76,16.642977,0.074313,2.330326,0.836941
77,20.951020,0.074542,1.763071,0.504176
78,25.759704,0.084410,2.356569,0.674646
79,26.947241,0.069618,2.351648,1.336082
80,25.830950,0.078511,2.090757,0.640814
81,34.680996,0.082211,2.505670,1.152191
82,29.072888,0.095518,1.529367,0.400356
83,36.801413,0.066103,1.799164,0.668699
84,25.289716,0.071512,2.209451,1.299762
85,19.459725,0.089505,2.087286,0.575088
86,14.435218,0.068951,2.060862,1.052090
87,8.951399,0.081553,2.697437,0.842893
88,11.291432,0.045286,1.740806,0.941063
89,14.490931,0.076176,2.397978,0.973826
90,25.678058,0.086195,2.783496,1.442933
91,29.028894,0.084665,1.873433,0.548410
92,36.307926,0.059276,2.646092,1.141534
93,35.378475,0.075831,2.866747,0.785983
94,34.476056,0.073319,2.550453,1.346677
95,30.232779,0.058271,2.916410,1.692753
96,30.397602,0.097425,2.651762,1.207071
97,24.445811,0.069172,2.431881,1.450891
98,34.313816,0.071906,2.070555,0.982266
99,39.523805,0.066674,2.240705,1.005017
100,49.408797,0.050407,2.132811,0.704587
101,53.679247,0.078741,1.428616,0.627261
102,55.309270,0.076779,1.949232,0.741412
103,42.628991,0.093606,2.547347,1.344460
104,29.755891,0.090280,2.097233,1.173012
105,27.060427,0.068805,1.810866,0.682508
106,28.664173,0.074399,2.873010,1.093004
107,34.616748,0.098976,2.776717,1.620676
108,33.650914,0.070571,2.355709,1.103532
109,16.333931,0.058073,2.032828,0.291185
110,12.654341,0.079436,2.179856,0.696857
111,13.129374,0.097063,1.503898,0.839286
112,15.960916,0.080281,2.463211,1.365763
113,26.957513,0.078859,2.171639,1.067955
114,34.830663,0.080107,1.984800,0.870066
115,42.542983,0.080220,2.134228,0.364466
116,44.747308,0.082469,2.704168,1.620266
117,25.524674,0.075324,1.435180,0.634558
118,29.576999,0.076764,2.189172,0.941620
119,28.556612,0.079974,2.335957,1.117652
120,31.636986,0.108794,3.023663,1.188835
121,28.059974,0.092815,1.781169,0.537325
122,19.506899,0.081466,2.964554,1.706323
123,24.433572,0.063511,1.826900,1.311984
124,16.908610,0.093449,1.690001,1.345552
125,15.279189,0.070707,2.125339,0.482074
126,21.154329,0.063874,2.556514,0.980704
127,21.400319,0.067787,2.015344,0.949986
128,12.935858,0.116523,2.721644,0.423083
129,12.936165,0.072563,1.608701,0.934995
130,19.312162,0.095314,2.215393,0.338775
131,14.343718,0.062804,2.447102,0.766023
132,20.374550,0.098897,2.203693,1.016733
133,23.442552,0.070253,2.005415,0.522397
134,11.868247,0.075883,2.686166,1.441012
135,13.306048,0.058654,2.385875,1.084886
136,12.920487,0.077406,2.756582,0.607969
137,14.349551,0.096710,2.237668,1.267425
138,12.137627,0.079267,2.254424,0.968057
139,16.400639,0.121768,2.888075,1.652239
140,19.615780,0.053588,1.925424,0.640719
141,16.052599,0.071671,2.321262,0.789207
142,10.691643,0.070588,3.041232,1.162277
143,13.098020,0.089085,2.470399,1.402878
144,22.828996,0.067166,1.670495,0.602909
145,32.774212,0.075697,2.207160,0.320053
146,28.205056,0.075635,2.228453,1.314354
147,23.475008,0.072345,2.333775,0.577372
148,22.383654,0.079890,2.358184,0.693272
149,19.150175,0.074703,1.496318,0.519771
150,27.375200,0.072572,2.346188,1.318252
151,30.169781,0.074411,1.536289,0.708475
152,22.761065,0.057174,2.324802,0.968350
153,17.192323,0.086051,2.552325,1.167496
154,29.437447,0.073430,2.354839,1.262696
155,29.956686,0.081570,1.818237,0.291711
156,27.995694,0.090427,2.563152,1.640269
157,37.425762,0.059669,2.391003,1.095758
158,30.770263,0.107786,2.616355,1.485411
159,32.137200,0.083796,2.574780,1.372773
160,27.033721,0.084697,2.161301,0.956547
161,29.464455,0.049609,1.429698,0.183036
162,26.972086,0.069000,2.857289,1.337180
163,16.574195,0.110454,2.219167,1.184902
164,16.073936,0.112401,3.035754,1.425107
165,26.787969,0.080293,2.632468,0.707589
166,27.741363,0.095313,2.061362,0.602201
167,25.440620,0.067170,2.487815,1.490626
168,18.284550,0.078682,2.157602,0.728741
169,19.585721,0.092698,2.591531,1.198845
170,21.113501,0.072428,2.402374,1.385411
171,24.642707,0.058823,2.133137,0.598877
172,24.849763,0.078217,1.748468,0.428813
173,19.737872,0.077120,2.056902,0.570436
174,11.435069,0.063039,2.942671,1.799607
175,14.794923,0.071325,1.821597,0.591811
176,9.683104,0.081068,2.353100,0.720548
177,10.297471,0.092605,2.751537,1.874543
178,12.729634,0.087734,2.535425,1.511640
179,16.378605,0.073766,1.973159,1.269465
180,11.373619,0.068712,2.246006,1.357730
181,21.847201,0.084626,3.309518,1.521335
182,18.105685,0.092814,2.116980,0.684948
183,17.555977,0.092580,2.660595,1.378740
184,20.730429,0.045153,2.034339,1.038143
185,24.531295,0.064646,1.977106,0.748279
186,26.703223,0.078964,2.398761,1.130614
187,23.172735,0.075595,2.011543,0.908802
188,31.192634,0.078348,2.414965,0.982092
189,36.111801,0.083169,2.415449,1.485389
190,42.110582,0.068001,2.417575,1.289562
191,49.972847,0.060495,1.830421,0.680829
192,55.173284,0.079976,1.590092,0.249653
193,47.328615,0.078501,1.910212,0.288447
194,43.418327,0.112218,2.653566,1.470094
195,37.883296,0.083856,2.443336,1.302695
196,29.603403,0.079224,1.803035,1.062453
197,21.542371,0.068046,1.559035,0.579048
198,19.202457,0.091187,1.945268,0.994701
199,22.765649,0.079403,1.639816,0.617030
200,35.806958,0.080368,1.275030,0.602604
201,40.472412,0.094247,2.466890,0.998826
202,51.198835,0.054853,1.754182,0.555040
203,44.266586,0.087248,3.116040,1.437984
204,44.098497,0.070343,2.544455,0.977727
205,34.867588,0.067178,1.781453,0.215599
206,34.726799,0.062976,2.548130,1.576007
207,33.706782,0.076538,3.056295,1.740626
208,24.974051,0.049010,1.794612,0.894828
209,22.168758,0.067429,2.552645,1.046439
210,23.411825,0.071469,1.755172,0.733922
211,19.918830,0.088122,2.554425,0.895669
212,14.288808,0.091783,2.305442,0.406777
213,17.583024,0.074002,2.347082,0.943596
214,13.677057,0.083869,2.655107,1.902106
215,24.108096,0.086855,1.765237,0.430655
216,31.883298,0.090302,2.242274,1.145478
