week,elAppWT,elScanWT,urScanWT,OT
0,1329.627986,0.065546,1.363261,0.490290
1,1335.935849,0.094914,1.734553,0.629355
2,1341.602109,0.095773,2.096422,0.689048
3,1337.260282,0.070571,1.989498,0.927350
4,1334.291450,0.065913,2.727014,1.587356
5,1335.728594,0.050353,0.990272,0.186246
6,1336.973505,0.054320,1.041980,0.532840
7,1342.546918,0.064311,1.770460,0.622799
8,1356.362121,0.061305,1.663257,0.586815
9,1354.232732,0.053426,1.405924,0.514983
10,1349.597126,0.078793,1.708730,0.808673
11,1351.675552,0.111697,2.288094,0.990233
12,1352.522218,0.077454,1.837989,0.901951
13,1357.657011,0.064395,2.466806,1.146589
14,1358.929413,0.057777,1.697976,0.184269
15,1355.642546,0.062384,1.774083,0.920131
16,1351.667552,0.075245,2.016010,1.011178
17,1366.429218,0.089499,1.746424,0.974503
18,1380.514579,0.081249,2.396100,1.747434
19,1388.655948,0.073191,2.243962,1.297607
20,1399.575268,0.067639,1.577551,0.867696
21,1406.582636,0.065109,1.635257,0.559257
22,1415.532540,0.070277,1.705316,0.567274
23,1410.034209,0.075258,2.046278,0.915399
24,1395.655279,0.070131,1.635156,0.513336
25,1402.333469,0.045023,1.813645,0.504902
26,1419.497882,0.060551,2.706362,1.739115
27,1426.752919,0.059740,1.725894,0.899922
28,1428.739939,0.075857,1.984032,0.880260
29,1437.389901,0.067515,2.149818,1.372181
30,1446.107684,0.047851,2.661696,0.867280
31,1456.679129,0.091142,1.652970,0.821485
32,1462.867629,0.079506,1.473126,0.725173
33,1461.811024,0.068849,2.101227,0.348146
34,1461.544268,0.086956,2.143693,0.689571
35,1442.792867,0.078009,2.906763,1.458921
36,1446.359283,0.069219,1.378237,0.595849
37,1449.635407,0.063965,1.582352,0.487475
38,1443.535857,0.086399,1.784945,0.913723
39,1444.932027,0.047990,1.677598,0.509281
40,1443.197227,0.071636,2.100898,0.598759
41,1443.905146,0.086239,1.970016,0.695034
42,1455.149423,0.078232,2.328369,1.306341
43,1462.349383,0.080263,1.760183,0.631496
44,1483.142121,0.063652,1.488347,0.548581
45,1481.170859,0.085060,1.783551,0.943128
46,1474.779606,0.063922,2.158459,0.963253
47,1480.748089,0.072292,1.619608,0.567464
48,1484.270769,0.070160,2.425110,1.335494
49,1485.779196,0.097449,1.565517,1.094890
50,1480.971335,0.059845,2.140951,1.294144
51,1473.424558,0.092580,1.795353,0.642234
52,1477.518180,0.096367,2.165618,1.006727
53,1465.430310,0.090683,2.360640,1.026143
54,1482.555695,0.062315,2.232420,1.017692
55,1503.372129,0.049220,1.524101,0.814054
56,1507.166348,0.053914,1.463726,0.934104
57,1515.064135,0.058146,1.922215,0.921806
58,1503.096279,0.079777,1.937453,0.701309
59,1510.819544,0.071332,1.531190,0.523056
60,1518.528216,0.062782,1.702435,0.453553
61,1527.774640,0.090579,2.247785,1.009637
62,1537.253294,0.084809,1.748439,1.245859
63,1552.311330,0.077029,1.830751,0.574743
64,1560.684705,0.067300,1.693201,1.277875
65,1560.540349,0.056550,2.023851,0.935891
66,1559.650801,0.084109,1.679291,1.323053
67,1561.984211,0.111208,2.261931,1.067059
68,1565.637708,0.108902,1.635077,0.585079
69,1575.850403,0.077861,1.727184,0.918665
70,1587.424935,0.090181,1.920548,1.003436
71,1578.622808,0.068188,2.518520,1.719016
72,1584.916845,0.083138,1.379233,0.674837
73,1594.404906,0.072866,1.970604,1.308490
74,1585.205153,0.076124,1.868529,0.555325
75,1585.828641,0.078787,1.746564,0.243757
76,1571.868071,0.066719,2.032176,1.090901
77,1566.872129,0.086803,1.861364,0.915181
78,1561.639986,0.071318,1.318007,0.538160
79,1558.975145,0.062941,2.271108,1.251765
80,1556.721773,0.103867,1.965438,1.099459
81,1568.828263,0.072110,2.028916,0.914168
82,1571.977384,0.080928,2.303798,1.371535
83,1574.881665,0.076558,1.040880,0.216510
84,1578.727339,0.047417,1.805473,0.857960
85,1572.788620,0.074186,1.484339,0.895892
86,1571.699647,0.071973,2.825365,1.853244
87,1579.393240,0.070758,1.505923,0.845348
88,1592.731323,0.082391,2.559366,1.450541
89,1588.626890,0.087614,1.404348,0.280915
90,1601.927035,0.100354,2.911852,1.709067
91,1600.871358,0.077004,2.272949,0.650395
92,1599.020129,0.056138,2.207509,1.624758
93,1587.946978,0.067198,1.974995,0.541179
94,1578.967841,0.068688,1.636977,1.265604
95,1571.703488,0.078650,2.262683,1.278880
96,1579.864606,0.085769,2.058767,0.561835
97,1568.380791,0.078569,1.570787,0.940625
98,1582.699212,0.094896,1.610902,0.930224
99,1594.779974,0.078077,1.767256,0.899464
100,1590.638905,0.084187,1.615977,0.131427
101,1593.052234,0.065388,1.600027,0.886234
102,1591.334461,0.088188,1.908506,0.656533
103,1594.172397,0.080574,1.843089,0.843427
104,1601.465895,0.055951,2.595304,1.406809
105,1597.901181,0.087352,1.540433,0.223003
106,1584.540739,0.069042,2.362139,1.258333
107,1582.567380,0.096850,2.579538,1.478570
108,1589.133173,0.056458,1.969856,0.970140
109,1596.450924,0.068514,2.002072,0.930689
110,1602.252032,0.092313,2.488850,0.649657
111,1600.012026,0.099303,1.892373,0.945514
112,1591.362377,0.068451,1.665799,0.933332
113,1600.429975,0.096548,2.183025,1.076023
114,1593.161895,0.094030,2.465716,1.440669
115,1608.574664,0.066911,1.946994,0.576402
116,1605.967090,0.089626,1.720071,0.450281
117,1607.209242,0.072575,2.043499,0.491979
118,1607.973274,0.072146,1.953552,0.988097
119,1600.985819,0.069239,1.803683,0.942336
120,1597.162294,0.062707,1.783466,0.986250
121,1594.775880,0.068625,2.244517,0.607559
122,1591.072027,0.083365,2.052326,1.332559
123,1596.746454,0.110810,1.264474,0.586703
124,1591.885771,0.064202,2.277565,1.364092
125,1606.802694,0.113651,1.945374,1.371050
126,1617.629802,0.080045,2.605591,0.945518
127,1618.658577,0.071544,2.299234,0.891913
128,1633.798318,0.066868,2.029212,1.021484
129,1655.383972,0.085307,2.230553,0.590701
130,1658.314033,0.073012,1.886038,0.962947
131,1666.973335,0.070191,1.762321,0.536261
132,1684.389814,0.085641,2.282303,0.912160
133,1685.067094,0.075374,2.437501,1.295201
134,1685.997386,0.103293,1.882085,0.758920
135,1678.641299,0.068817,1.652079,0.874269
136,1671.839287,0.063539,1.344552,0.607520
137,1678.448460,0.062196,1.982707,0.842564
138,1677.066269,0.061576,1.216472,0.552265
139,1682.610468,0.080310,1.859835,0.745630
140,1681.445771,0.064821,1.363708,0.618222
141,1684.223453,0.078038,2.712815,1.773342
142,1684.887557,0.090286,2.054693,1.000363
143,1682.328528,0.063123,1.465162,0.507957
144,1686.326247,0.084771,1.700445,0.578394
145,1682.330722,0.078718,1.143996,0.280279
146,1681.342623,0.073939,1.592793,0.614271
147,1693.945007,0.058835,2.029201,0.872854
148,1674.051561,0.069952,2.000640,1.309265
149,1661.458292,0.076722,1.776110,0.188903
150,1652.296514,0.070479,1.788477,0.967821
151,1633.474665,0.089035,1.871745,0.965581
152,1643.498225,0.096540,2.272903,1.303600
153,1654.882742,0.061152,1.879009,1.687553
154,1646.239891,0.091006,2.306073,0.581930
155,1641.184676,0.077928,1.407706,0.247817
156,1643.403859,0.072404,1.763656,1.047205
157,1645.983397,0.080860,2.538342,1.969118
158,1655.812260,0.066794,2.062809,0.739952
159,1661.123763,0.063843,1.531094,0.849334
160,1657.614930,0.078115,1.504791,0.344113
161,1656.894631,0.054616,1.467191,0.493248
162,1653.288150,0.076565,1.918207,1.264710
163,1671.922255,0.065129,2.100804,0.980297
164,1670.199468,0.056788,1.692373,0.477824
165,1678.227866,0.072296,1.601265,0.704611
166,1686.055376,0.067202,2.286512,0.914142
167,1679.776765,0.081644,1.582702,0.572440
168,1662.691913,0.055389,1.407585,0.516113
169,1657.235400,0.067215,1.715603,1.340464
170,1665.871414,0.075772,3.029473,1.659782
171,1661.883361,0.063823,1.742527,0.546964
172,1648.767234,0.041864,1.340344,0.296889
173,1647.246958,0.078654,0.968717,0.194181
174,1662.293564,0.070720,1.709694,0.599863
175,1654.170924,0.057980,2.591153,0.929913
176,1647.094795,0.075816,2.372167,0.993493
177,1626.734301,0.077425,2.792843,1.418685
178,1620.619717,0.068497,2.620724,1.211287
179,1625.039000,0.064380,2.496268,1.206105
180,1633.566192,0.070885,2.059788,0.621374
181,1629.895035,0.086802,1.838407,0.534682
182,1638.534028,0.067194,2.244259,1.412587
183,1652.707941,0.086417,2.733267,1.404156
184,1656.662360,0.064460,1.717017,0.667768
185,1642.216992,0.080516,1.866370,0.973000
186,1645.500071,0.075539,2.127848,0.913667
187,1650.020326,0.067597,1.514003,0.074989
188,1655.925465,0.082257,2.424662,0.517157
189,1648.055076,0.070705,0.947629,0.094646
190,1647.387127,0.069090,2.096834,1.311256
191,1648.718229,0.072290,2.514426,1.642411
192,1643.536669,0.060301,2.168961,1.219880
193,1650.001165,0.047013,0.777028,0.122932
194,1656.536561,0.090782,2.001023,0.864011
195,1647.632897,0.063982,2.112832,0.952794
196,1639.109299,0.067771,2.042858,0.960775
197,1641.551877,0.047192,1.935088,0.857603
198,1648.154564,0.076626,2.393603,1.656478
199,1648.270657,0.062348,2.009521,0.881562
200,1655.491675,0.064787,2.488959,1.124117
201,1663.293066,0.098869,1.275661,0.527648
202,1671.908531,0.101021,2.292599,1.004017
203,1680.227330,0.080552,1.614471,0.868757
204,1690.456069,0.074739,1.826409,0.652987
205,1693.599137,0.070377,1.135884,0.525982
206,1686.808977,0.092922,1.557174,0.683809
207,1698.491367,0.065718,1.809332,0.230445
208,1708.775997,0.067185,2.216889,1.054311
209,1709.724012,0.057028,1.643804,0.620180
210,1716.803846,0.089881,1.607570,0.465711
211,1707.705548,0.064077,1.950321,0.908877
212,1704.694957,0.090961,2.091429,1.319450
213,1703.285439,0.058868,1.847249,0.880866
214,1704.195393,0.067075,1.899844,0.973576
215,1708.491864,0.056430,1.555384,0.516585
216,1721.568352,0.073949,2.233084,0.979510
217,1721.333292,0.057377,2.707555,0.924454
218,1715.701483,0.053320,1.678205,0.478656
219,1710.506652,0.061637,1.819889,1.344452
220,1723.721774,0.084913,1.587233,0.463361
221,1708.520707,0.055803,1.558947,0.220370
222,1703.031794,0.084520,1.445010,0.318773
223,1707.286626,0.052049,2.070580,0.553685
224,1711.949290,0.073509,2.094390,0.992293
225,1713.429968,0.055798,1.622995,0.805687
226,1729.528819,0.102737,1.880906,0.663336
227,1728.551590,0.071584,1.777087,0.695903
228,1726.580223,0.079853,1.518969,0.654297
229,1739.496866,0.061016,1.878655,0.991817
230,1730.276949,0.055756,1.407803,0.560551
231,1725.562758,0.052404,2.758424,0.823169
232,1701.516413,0.076478,2.257805,1.751501
233,1694.725125,0.068779,1.539924,0.554492
234,1695.826747,0.076068,2.060505,0.936941
235,1698.454154,0.057127,1.643017,0.650662
236,1699.468368,0.042205,2.320555,0.988769
237,1709.771715,0.063605,1.969850,0.806095
238,1691.103803,0.075244,2.272321,0.989451
239,1698.606346,0.056053,2.109229,0.617675
240,1711.688732,0.081241,2.267217,1.422421
241,1705.967735,0.057144,2.093225,1.197387
242,1715.950243,0.077481,1.027278,0.220495
243,1716.466291,0.066499,1.822675,0.534507
244,1705.485674,0.069370,2.634998,1.320118
245,1698.769447,0.099045,2.101049,0.604480
246,1704.283485,0.076664,1.448881,0.623456
247,1707.737120,0.069919,1.793109,0.917437
248,1685.438214,0.065999,2.138299,1.298603
249,1692.059263,0.091082,2.441214,1.053350
250,1710.657836,0.049867,2.749293,0.927427
251,1715.524151,0.054163,2.114514,0.891901
252,1713.954600,0.081820,2.479405,1.289646
253,1714.108779,0.075156,2.463305,1.134324
254,1710.605674,0.052793,2.342211,1.220474
255,1713.738033,0.085964,2.245634,1.570809
256,1720.708791,0.067410,1.780194,0.941176
257,1722.769291,0.084749,1.888804,1.248790
258,1729.563557,0.081365,1.959159,0.499915
259,1728.553051,0.070041,1.793420,1.087193
260,1710.761739,0.063111,2.144487,0.959708
261,1725.993415,0.056700,1.978843,0.514197
262,1730.313296,0.059830,2.368009,1.260486
263,1745.279007,0.070623,2.481206,1.338333
264,1779.082695,0.073963,1.144700,0.531866
