week,elAppWT,elScanWT,urScanWT,OT
0,36.192556,0.209915,3.246081,1.250524
1,21.778978,0.147544,2.489850,1.120096
2,12.388699,0.180001,2.462526,0.626898
3,20.395083,0.158186,2.736457,0.627969
4,22.846898,0.193208,4.108330,1.734509
5,19.531801,0.203429,2.927472,0.663104
6,27.410507,0.212599,2.290844,0.567234
7,30.666251,0.184144,2.338996,0.688218
8,28.360420,0.191493,2.708997,0.518224
9,16.933055,0.223213,2.837163,0.738320
10,17.070950,0.192946,2.729522,0.998263
11,11.093600,0.147022,2.187415,0.821550
12,12.293701,0.254529,2.544160,0.945642
13,10.387249,0.175301,1.999202,0.480698
14,12.350687,0.175180,2.813117,0.107420
15,10.231883,0.195488,2.929657,1.122070
16,14.985079,0.170578,3.125528,0.954273
17,25.450783,0.150125,2.416681,0.541880
18,30.939313,0.229504,2.953097,0.272755
19,25.740831,0.192752,2.867826,0.820296
20,24.455569,0.180319,2.520546,0.146197
21,21.042478,0.184522,3.545530,0.881824
22,18.905367,0.189061,2.474209,0.491813
23,17.880006,0.163815,2.735973,0.685588
24,13.619521,0.154214,2.783881,1.067412
25,17.460708,0.178291,2.394173,0.959985
26,13.139401,0.165123,2.932483,1.233670
27,11.337794,0.147186,2.596502,0.503598
28,15.683932,0.148795,3.231440,1.746490
29,21.946605,0.181641,2.346933,0.467752
30,22.247476,0.186947,3.235472,0.909160
31,14.210677,0.172254,2.156983,0.772524
32,20.560038,0.184786,2.724624,0.198340
33,17.319720,0.173193,2.875775,0.856768
34,10.196906,0.111399,3.103379,0.261596
35,20.809865,0.174129,2.908735,0.304249
36,20.383761,0.156138,3.117325,0.565766
37,33.515762,0.171970,3.709054,1.066658
38,23.803152,0.172501,3.519260,1.100486
39,10.841014,0.186356,2.664246,1.336506
40,8.612900,0.197296,3.245239,1.065524
41,15.294142,0.188950,2.246835,0.050361
42,19.301077,0.176404,2.817786,0.610960
43,18.266115,0.172834,2.712734,0.274527
44,21.050285,0.180452,3.185168,0.980369
45,20.872082,0.166079,2.629048,0.487803
46,16.054580,0.157273,2.708223,0.231306
47,19.542178,0.207891,2.721110,0.887988
48,21.551341,0.174314,1.686613,0.091269
49,20.106949,0.185080,1.668505,0.133535
50,12.443122,0.224497,1.969509,0.611038
51,13.112195,0.154535,3.063031,0.504040
52,21.053941,0.203577,3.527755,1.249024
53,21.225321,0.190719,2.913170,0.654865
54,29.015187,0.212015,2.995186,0.955717
55,22.335854,0.173592,2.541431,0.498862
56,17.669772,0.182291,2.864996,0.218732
57,23.172285,0.184785,3.016199,0.913298
58,25.555218,0.213828,2.488220,0.551622
59,37.051140,0.173899,2.985185,0.891644
60,34.930049,0.180026,2.646962,0.083964
61,24.685720,0.175212,2.359247,0.532841
62,13.406989,0.205565,2.150376,0.231685
63,6.908393,0.184643,3.168753,0.199447
64,11.745456,0.185960,2.033749,0.571450
65,13.912337,0.191982,2.596893,0.885682
66,11.613608,0.159618,2.921218,0.527869
67,13.760863,0.202674,2.024975,0.195884
68,14.357496,0.193917,2.319218,0.306431
69,22.864546,0.184896,3.031950,1.026564
70,18.896835,0.138951,3.393418,1.395734
71,22.675082,0.145510,2.947112,1.296527
72,21.136895,0.157163,2.121453,0.606495
73,23.848733,0.177866,3.330316,0.925897
74,19.757173,0.202353,3.141163,0.608255
75,19.461288,0.193617,3.218994,1.334406
76,19.624131,0.197707,2.694795,0.665744
77,16.456682,0.179202,2.215246,0.512770
78,18.092446,0.171435,2.955585,0.516366
79,17.418702,0.156724,2.287393,0.114977
80,21.561126,0.169075,2.975207,1.209023
81,19.004260,0.212132,2.151619,0.258296
82,22.070181,0.183424,2.912048,0.804790
83,26.025994,0.162441,2.878603,0.254650
84,19.690131,0.185379,2.824944,0.463666
85,15.264483,0.163868,2.488974,0.296349
86,8.866669,0.166146,2.520021,0.560560
87,10.112400,0.149771,3.195102,0.855958
88,11.031982,0.174582,2.417371,0.117522
89,13.872151,0.152596,3.383899,1.746123
90,18.445788,0.176680,2.727955,1.354346
91,20.972249,0.176580,3.286557,0.967601
92,17.429582,0.200475,2.348015,0.127367
93,10.406609,0.161171,2.093820,0.516431
94,14.665908,0.180827,1.922184,0.592095
95,11.133406,0.179229,2.352509,0.978369
96,10.283826,0.171779,2.218935,0.560415
97,15.633778,0.179157,2.380012,0.556103
98,17.198866,0.172110,2.536779,0.664119
99,22.732180,0.181920,2.525377,0.850356
100,21.366472,0.168859,2.830042,0.637863
101,12.412337,0.154693,2.617502,0.562261
102,10.830206,0.224828,2.660029,1.367251
103,9.136754,0.144781,2.783024,0.664619
104,24.190624,0.189365,2.110822,0.509249
105,26.618507,0.188493,3.002684,0.965621
106,15.357363,0.196342,3.394132,1.011539
107,8.042887,0.126716,2.468934,0.450565
108,9.066830,0.145854,2.446406,0.099240
109,10.483015,0.185639,3.221975,0.953448
110,14.040036,0.173504,3.236164,1.052779
111,28.426393,0.180161,1.806076,0.478156
112,15.741072,0.187455,3.376663,1.029340
113,9.179652,0.173040,3.754586,0.903176
114,11.896296,0.158246,3.127991,1.102288
115,9.454600,0.144944,1.952528,0.208287
116,19.225057,0.173137,2.602978,0.864492
117,21.626833,0.200363,1.984393,0.162897
118,22.782842,0.174584,3.422088,1.020849
119,15.668393,0.187832,2.831153,0.967463
120,18.542236,0.158365,2.926156,1.371000
121,11.537391,0.138501,3.013410,0.211303
122,25.005458,0.192511,2.833923,1.081576
123,30.836000,0.190952,2.533266,0.888547
124,21.920910,0.178454,2.671392,0.872440
125,24.701682,0.189697,2.749053,0.541967
126,31.702252,0.220676,2.575618,0.516040
127,33.288748,0.174620,2.627885,0.936100
128,40.587095,0.188115,2.711498,0.256249
129,33.756066,0.168810,2.658179,0.143544
130,29.108357,0.164475,2.770647,1.060293
131,34.823068,0.201146,1.956509,0.082315
132,25.578726,0.178437,2.236696,0.549490
133,20.385670,0.179064,2.252643,0.402113
134,23.820858,0.151900,1.559910,0.554218
135,20.062259,0.204207,2.591258,0.538338
136,20.108650,0.152334,2.214340,0.434781
137,20.436726,0.188971,2.973530,0.608567
138,10.976986,0.173870,2.628084,0.555249
139,11.136887,0.191814,3.030849,0.608603
140,14.712891,0.186685,2.330992,0.438189
141,17.789834,0.183154,3.124509,0.992936
142,12.517563,0.170708,3.397821,1.003248
143,11.565582,0.173346,3.880386,1.270558
144,22.776639,0.192290,2.343654,0.067959
145,24.175185,0.164197,2.780101,1.303399
146,24.446566,0.178930,2.005385,0.549043
147,32.859022,0.221011,2.720892,0.915561
148,29.883594,0.158552,2.397569,0.136609
149,28.251256,0.173066,2.310113,0.199815
150,32.714861,0.195666,2.666760,0.208165
151,23.086563,0.169963,2.470216,1.304751
152,13.530458,0.198269,3.365463,0.657880
153,10.255370,0.153770,3.315968,1.368103
154,15.509165,0.161538,3.091072,0.292865
155,11.595938,0.168550,2.683795,1.004997
156,21.041027,0.192684,2.651965,1.060328
157,19.418468,0.184820,3.841805,1.011874
158,17.793363,0.176026,2.871627,0.929086
159,11.709024,0.132964,2.459692,0.865593
160,11.616303,0.140716,2.440754,0.578162
161,22.077113,0.183363,3.189775,1.509538
162,16.331764,0.154142,2.934360,1.350905
163,15.288131,0.182786,3.123117,0.953035
164,23.729200,0.180477,2.416666,0.247456
165,19.536889,0.128190,2.859969,0.625720
166,27.999748,0.155817,2.405112,0.457078
167,39.971716,0.163668,2.587881,0.525971
168,54.142465,0.194671,2.680232,0.700716
169,54.460688,0.229875,2.745649,0.690068
170,49.215951,0.152054,3.958911,1.349476
171,66.221964,0.188679,2.848622,0.554547
172,68.745767,0.190047,2.215835,0.750249
173,62.069171,0.206921,2.727216,0.623787
174,56.792026,0.201310,3.039791,0.814457
175,34.753845,0.196662,2.699234,1.066134
176,23.700874,0.150665,2.363900,0.281556
177,10.087304,0.184763,2.723638,0.917767
178,18.409959,0.170551,2.571152,0.282726
179,22.119515,0.206025,3.923525,0.740959
180,12.864691,0.154186,3.230776,1.024933
181,26.628485,0.189025,2.116588,0.966230
182,24.002687,0.179615,2.807793,0.572687
183,23.462281,0.185507,2.708264,0.484722
184,14.319679,0.198359,2.147542,0.105799
185,12.783638,0.165804,3.138475,0.858286
186,9.990723,0.190444,2.751834,0.725848
187,14.859874,0.151137,2.843683,0.660217
188,33.982402,0.204036,2.767356,0.918077
189,41.496673,0.173810,2.228192,0.549615
190,32.115347,0.196655,3.132383,0.931509
191,31.950635,0.170728,2.767349,1.309331
192,28.795646,0.177701,2.431785,0.551208
193,24.036784,0.173054,2.492201,0.807010
194,24.907294,0.169036,2.927175,0.504748
