week,elAppWT,elScanWT,urScanWT,OT
0,11.897759,0.183120,2.739530,1.402318
1,21.250839,0.206360,4.705915,1.756302
2,24.485157,0.200656,2.388143,0.946276
3,20.137264,0.172327,2.593807,1.051194
4,19.562197,0.172833,1.994091,0.685779
5,13.679878,0.225126,2.518846,1.077180
6,10.036732,0.222458,3.585097,1.501573
7,9.749659,0.164962,2.823825,0.584481
8,12.034516,0.222121,2.961360,1.031328
9,10.730968,0.165560,2.839318,1.022869
10,10.258436,0.170312,2.950049,1.013513
11,9.575651,0.183839,3.191251,1.079021
12,9.650624,0.199520,3.054567,1.334965
13,9.101174,0.161719,2.778758,0.735594
14,11.323539,0.157288,2.729824,0.752288
15,18.760595,0.238869,2.807217,0.765606
16,14.554538,0.166873,3.404299,1.093483
17,13.506409,0.174274,3.073530,1.362047
18,14.428301,0.177598,2.596102,0.495604
19,18.708478,0.189103,3.383854,1.145282
20,12.721366,0.210038,3.271407,1.402855
21,8.797485,0.147566,2.945657,0.618954
22,11.357332,0.197655,3.130374,1.201840
23,11.175991,0.144799,2.761376,1.009492
24,22.105336,0.190582,3.415337,1.203914
25,9.477887,0.196361,2.652107,0.542413
26,9.030622,0.192998,2.691800,1.441663
27,11.343098,0.173921,3.839897,0.990612
28,9.561651,0.146435,2.588608,0.359764
29,13.751293,0.229988,3.072139,1.153580
30,13.827908,0.178857,3.090306,1.391027
31,13.631580,0.205857,3.096691,1.326345
32,14.233669,0.226662,2.889738,1.225115
33,15.619489,0.195012,2.923634,1.041296
34,8.380523,0.174190,3.182180,1.431625
35,15.387274,0.200125,3.496099,0.737775
36,15.455141,0.191928,2.981813,1.407349
37,15.359277,0.218908,2.963539,0.587681
38,10.410029,0.161439,1.879384,0.540705
39,12.551796,0.173344,2.035358,0.957537
40,8.192239,0.160833,2.478024,0.425506
41,8.800991,0.165714,2.364891,1.322011
42,9.127199,0.214445,3.322127,0.928638
43,7.072133,0.164970,2.600646,1.637188
44,9.521288,0.184367,2.541774,0.941215
45,11.712338,0.198954,2.529322,0.844753
46,8.912552,0.198143,2.314701,0.269047
47,9.241765,0.155407,2.005485,0.644801
48,11.142303,0.207064,2.685184,1.598586
49,8.444175,0.157915,2.323319,0.982824
50,14.092797,0.226124,3.178501,1.394933
51,18.423375,0.172834,3.048497,1.040625
52,15.306015,0.226224,3.034010,1.231913
53,23.314517,0.208109,1.974762,0.605858
54,14.678464,0.168458,2.688048,1.047116
55,14.135079,0.194757,2.388891,0.652794
56,12.576030,0.157542,3.492708,1.771213
57,11.829572,0.181783,2.685686,0.876981
58,20.958813,0.196390,3.765074,1.477560
59,20.305657,0.141085,2.909449,1.171493
60,13.145135,0.206845,2.321805,0.924544
61,28.841873,0.245971,3.424728,1.907147
62,37.765871,0.192246,2.080457,0.957726
63,23.545395,0.158011,3.201121,1.035563
64,8.951382,0.170554,2.890887,1.299664
65,10.184465,0.225478,2.675464,1.108211
66,12.188075,0.172530,2.864434,1.580665
67,11.230614,0.180513,2.399036,0.611747
68,18.314506,0.255595,2.366687,0.687443
69,15.173333,0.194279,2.836559,1.290244
70,12.649169,0.204624,3.269893,1.264733
71,13.048692,0.133776,2.780947,0.563479
72,9.175785,0.197312,2.864561,1.286904
73,10.584834,0.135963,3.343677,1.757763
74,14.686241,0.195434,3.074684,1.330186
75,10.014535,0.215077,1.953151,0.267069
76,13.701550,0.211048,3.107967,1.252707
77,14.961865,0.204315,2.718219,0.502541
78,17.912036,0.214700,3.226805,0.680225
79,18.071893,0.204867,3.262872,1.711258
80,19.582900,0.182694,3.056879,0.696695
81,21.610803,0.187331,2.974626,1.100992
82,15.882234,0.185938,1.784057,0.650501
83,17.846571,0.178582,2.885487,1.037235
84,9.408577,0.176976,3.034251,1.276438
85,9.150681,0.168744,3.033064,1.242461
86,9.813199,0.156842,3.670811,1.367638
87,7.584937,0.186684,2.707989,0.786936
88,10.733749,0.116700,2.818732,0.941806
89,12.339390,0.196572,3.306892,0.979834
90,22.218537,0.219400,3.479333,1.469273
91,22.642705,0.219715,2.837924,0.586466
92,26.986171,0.171646,2.864820,1.441767
93,21.719819,0.218282,3.525912,1.131809
94,17.895207,0.196108,3.359598,1.342003
95,10.508009,0.175419,2.936635,1.641509
96,12.349330,0.190972,2.888989,1.151068
97,9.899739,0.151164,2.848395,1.732734
98,16.996084,0.186653,2.294925,0.950621
99,18.046073,0.170620,2.995833,1.306762
100,23.331411,0.156817,2.595236,0.661706
101,24.541739,0.194020,1.611410,0.554447
102,30.399440,0.186735,2.639394,0.733223
103,24.139973,0.194642,3.183408,1.401246
104,12.426976,0.199171,2.719027,1.497260
105,8.855075,0.199179,2.454325,1.048441
106,11.105152,0.178798,3.717127,1.443563
107,16.752285,0.234638,3.502805,1.618524
108,16.930895,0.182311,2.979440,1.084039
109,9.819594,0.184919,2.901428,0.315441
110,9.447209,0.183478,3.201410,1.077834
111,11.394813,0.210004,1.969719,1.143961
112,12.178766,0.202199,3.391963,1.384065
113,22.373694,0.229771,3.198650,1.397504
114,25.839764,0.220174,2.519912,0.923450
