week,elAppWT,elScanWT,urScanWT,OT
0,239.369023,0.108574,2.499063,0.222033
1,243.578690,0.113620,3.063228,0.467682
2,246.784175,0.088353,1.790176,0.051289
3,262.715633,0.092034,2.580120,0.915793
4,270.250732,0.087437,2.075347,0.532063
5,263.898394,0.081095,2.167689,0.462809
6,275.099172,0.088759,3.038704,0.598960
7,279.682460,0.071925,2.265512,0.414874
8,274.057364,0.098468,2.737375,0.229351
9,278.250158,0.082395,2.265510,0.134803
10,276.712761,0.102441,2.550611,0.577111
11,262.378136,0.101417,2.584567,0.520130
12,269.607552,0.089411,2.945045,0.840104
13,269.623562,0.081627,2.836252,0.526217
14,266.424653,0.071381,2.751775,0.546626
15,269.245406,0.073965,2.649092,0.181200
16,266.755482,0.095098,2.595624,0.615967
17,269.974214,0.085854,2.214363,0.454750
18,274.321805,0.080814,2.892719,0.105450
19,268.547655,0.102267,2.856562,0.922611
20,266.395341,0.076037,2.572043,0.473515
21,271.548625,0.090769,2.536001,0.108950
22,266.910840,0.079602,2.952675,0.983844
23,261.130378,0.081343,1.981212,0.124238
24,265.448346,0.063794,2.641447,0.226870
25,265.751050,0.085221,2.583632,0.085364
26,272.516843,0.104166,2.367466,0.510983
27,266.988600,0.069396,3.316593,0.485882
28,271.578971,0.092608,2.361338,0.189666
29,276.035810,0.096725,2.742805,0.944891
30,285.901199,0.083284,2.122222,0.449703
31,293.585844,0.064304,2.353293,1.136285
32,291.737308,0.084370,2.216140,0.574141
33,302.545174,0.094103,2.477230,0.457116
34,314.794334,0.088713,2.629825,0.794976
35,320.599668,0.094282,2.764984,0.146264
36,318.118764,0.103766,2.383337,0.160981
37,315.081486,0.081978,2.419880,0.050174
38,323.279563,0.083832,2.120915,0.435776
39,325.306948,0.092252,2.289272,0.543291
40,317.131119,0.091245,2.319069,0.000000
41,319.122824,0.106144,1.742645,0.062436
42,309.877105,0.089095,2.861778,0.432148
43,300.366089,0.111139,2.836248,0.834435
44,293.987811,0.092114,2.607626,0.437275
45,275.500648,0.089826,2.650557,0.335506
46,283.964933,0.084236,2.282634,0.142689
47,288.979276,0.088506,2.016677,0.471658
48,280.771814,0.131360,2.139316,0.244868
49,273.038540,0.093366,1.734278,0.123010
50,276.496437,0.103911,2.790154,0.482222
51,281.963381,0.109241,2.332027,0.111406
52,276.164060,0.080521,2.386921,0.283776
53,287.217307,0.074672,2.188153,0.143911
54,279.427923,0.072129,2.187626,0.479761
55,280.478214,0.094309,2.335856,0.088030
56,288.613310,0.089232,3.033402,1.286372
57,284.243770,0.074728,2.391033,0.063126
58,279.078227,0.090559,3.099505,0.886224
59,273.857750,0.073230,1.519246,0.032705
60,268.679438,0.084287,2.556251,0.060269
61,272.222961,0.090540,3.004764,1.669011
62,290.925970,0.088809,1.385266,0.098915
63,292.783701,0.070773,2.568130,0.438251
64,290.690777,0.074773,2.682817,0.467382
65,302.868283,0.086946,2.483532,0.536517
66,304.769790,0.080795,2.357198,0.430301
67,296.399956,0.093479,2.491183,0.133415
68,298.299499,0.094086,2.425986,0.131364
69,290.819717,0.110860,2.145066,0.122280
70,295.495263,0.083440,2.867898,0.314785
71,313.306504,0.096346,2.493471,0.442874
72,302.690228,0.069294,2.045761,0.092707
73,300.036972,0.086547,2.421485,0.846982
74,307.043308,0.066386,2.876326,0.830636
75,302.236232,0.071491,1.619643,0.051732
76,301.573187,0.095769,2.674163,0.741498
77,286.527378,0.090118,2.854859,0.377246
78,295.021512,0.098443,3.088260,0.468538
79,311.395845,0.068476,2.105053,0.444530
80,325.751579,0.115898,2.824318,0.167362
