week,elAppWT,elScanWT,urScanWT,OT
0,11.618275,0.087642,2.697842,1.411624
1,21.174227,0.085396,4.756546,1.796019
2,25.534232,0.087777,2.317381,0.985167
3,21.516302,0.067680,2.478355,1.105884
4,20.835271,0.091190,1.960382,0.736444
5,15.231975,0.101723,2.597907,1.123532
6,10.745730,0.089438,3.441052,1.511805
7,9.928564,0.084593,2.939624,0.643322
8,12.222932,0.089368,3.146346,1.095235
9,10.946865,0.085986,2.906359,1.089329
10,9.985409,0.082367,3.069729,1.041885
11,9.233738,0.072044,3.262924,1.145040
12,9.089127,0.083790,3.065503,1.402883
13,8.561543,0.071512,2.822328,0.769313
14,11.199308,0.061037,2.651902,0.765781
15,19.779908,0.096495,2.555059,0.783523
16,15.020399,0.064858,3.381051,1.116473
17,13.299901,0.075801,3.055500,1.425504
18,14.711220,0.081113,2.672040,0.576715
19,19.368787,0.091337,3.571808,1.192533
20,13.879203,0.096101,3.403814,1.481153
21,8.510138,0.065303,3.017454,0.642016
22,10.829179,0.079418,3.045271,1.239576
23,10.838265,0.059721,2.742322,1.038016
24,22.589500,0.072132,3.020056,1.186125
25,10.068168,0.105125,2.613877,0.593853
26,8.782872,0.099641,2.789127,1.474614
27,11.345181,0.070374,3.441305,1.045449
28,8.969642,0.068291,2.365999,0.369667
29,13.541596,0.101802,3.022642,1.140595
30,14.534315,0.076931,2.903733,1.414492
31,14.807343,0.095095,2.949430,1.407906
32,15.115360,0.087979,3.023146,1.246740
33,16.503966,0.098029,2.777256,1.103747
34,8.206552,0.087848,3.278374,1.493973
35,15.184422,0.085544,3.285413,0.777502
36,15.669547,0.075772,2.662198,1.412969
37,16.149930,0.091205,3.065765,0.610958
38,10.839418,0.079128,1.668731,0.595816
39,12.118126,0.076202,2.137202,0.988670
40,7.442205,0.079002,2.134118,0.477365
41,8.737030,0.085431,2.253188,1.341629
42,8.875870,0.097309,3.070053,0.942104
43,6.767941,0.070760,2.702003,1.678145
44,9.271951,0.088830,2.616802,0.971040
45,11.444392,0.079047,2.375816,0.857336
46,8.585929,0.091857,1.988511,0.326859
47,8.556139,0.077972,2.106505,0.670470
48,10.737096,0.101386,2.604577,1.590545
49,7.808622,0.069779,2.320556,1.001399
50,13.375577,0.098565,2.950253,1.410393
51,17.963906,0.068323,2.939260,1.055638
52,15.744034,0.093715,2.792797,1.256906
53,24.957709,0.096003,2.019060,0.661680
54,15.435054,0.090793,2.580603,1.062289
55,15.599706,0.083778,2.283562,0.643290
56,14.299475,0.067776,3.275908,1.796323
57,14.133772,0.063014,2.558905,0.926902
58,23.648972,0.080095,3.880034,1.514110
59,24.462056,0.055837,2.927604,1.226339
60,17.296461,0.098961,2.328519,0.964121
61,33.447633,0.123337,3.339840,1.951616
62,44.056808,0.067361,2.048917,0.978243
63,30.848237,0.055086,3.022829,1.070978
64,14.361810,0.055794,2.993726,1.368886
65,12.207044,0.092981,2.556850,1.170132
66,12.615091,0.081399,2.785767,1.630396
67,10.590222,0.079253,2.380361,0.658492
68,18.203284,0.110973,2.507671,0.729889
69,15.483383,0.084400,2.730206,1.295225
70,13.630899,0.107060,3.033629,1.269835
71,13.908731,0.052419,2.752310,0.605135
72,9.021560,0.072224,2.760410,1.304074
73,10.250393,0.057405,3.369087,1.812996
74,14.445885,0.090837,2.935370,1.338108
75,9.902914,0.083962,1.854193,0.304184
76,13.563545,0.078393,3.153708,1.282001
77,15.472231,0.081663,2.755194,0.543810
78,18.228295,0.102519,3.248464,0.726740
79,18.414355,0.087485,3.288623,1.763808
80,20.358393,0.094616,2.596900,0.677143
81,23.365931,0.083663,2.951064,1.160691
82,17.870817,0.096209,1.865363,0.681732
83,20.387884,0.076053,2.845856,1.101714
84,10.265054,0.089428,3.064156,1.316564
85,8.923563,0.094789,2.770416,1.272115
86,9.079374,0.074024,3.709209,1.420984
87,7.242991,0.080826,2.572360,0.823271
88,10.491233,0.050589,2.917696,0.978382
89,12.191848,0.072027,3.010468,0.978544
90,22.022001,0.105512,3.328492,1.473905
91,22.728823,0.091049,2.567121,0.632830
92,28.004970,0.067209,2.968061,1.510732
93,23.623734,0.084725,3.374064,1.150511
94,20.670743,0.073137,3.177924,1.393047
95,12.749427,0.063941,3.052594,1.712284
96,12.747617,0.092678,2.943473,1.226963
97,9.714889,0.064900,2.861465,1.783090
98,17.276098,0.082232,2.304037,0.963515
99,18.692393,0.075228,2.974518,1.404489
100,24.325963,0.065746,2.435016,0.693354
101,25.181623,0.083313,1.761109,0.628694
102,31.804791,0.062936,2.471778,0.760152
103,26.403679,0.090221,3.252835,1.460533
104,14.601298,0.087153,2.759138,1.566688
105,9.448751,0.095031,2.562330,1.114810
106,11.016205,0.071240,3.631387,1.464569
107,17.004638,0.105419,3.535063,1.654877
108,17.916634,0.067419,2.989821,1.136479
109,9.876524,0.062952,2.903761,0.352798
110,9.036818,0.081537,3.038123,1.095708
111,11.222698,0.114627,2.034203,1.215465
112,12.405450,0.091705,3.139702,1.433557
113,22.652567,0.100666,3.092494,1.426364
114,26.664543,0.084055,2.388057,0.944012
115,30.139929,0.095484,3.061354,0.781143
116,26.511461,0.088427,3.282394,1.711901
117,9.542934,0.093953,2.168461,0.980166
118,15.985056,0.074094,3.380287,1.307283
119,13.159065,0.084788,2.912166,1.130728
120,13.699350,0.098437,3.775604,1.897943
121,11.494445,0.096380,2.762379,0.913157
122,10.396177,0.075009,3.521405,2.100810
123,15.286987,0.069752,2.626597,1.337473
124,7.828688,0.084915,2.063547,1.410654
125,7.225724,0.069974,2.747480,0.889440
126,12.046989,0.071043,3.075294,1.355786
127,9.713150,0.067255,2.602324,1.303707
128,7.375691,0.096841,3.443864,0.772102
129,10.259728,0.082084,2.733441,0.989705
130,15.827216,0.093847,3.549868,0.690030
131,11.381527,0.071970,2.058464,0.695938
132,17.220347,0.089594,3.362114,1.069607
133,17.243264,0.065670,2.161792,0.881269
134,8.738561,0.091028,2.929642,1.416033
135,11.674261,0.060537,2.821839,1.443254
136,10.324790,0.084176,3.530348,0.649341
137,10.160436,0.098646,2.940134,1.348972
138,9.359559,0.086784,2.366575,0.994415
139,13.670556,0.125044,3.628169,1.682448
140,16.009231,0.061942,2.076522,0.658309
141,13.132861,0.100266,2.313094,0.793856
142,7.966488,0.066777,3.028743,1.169544
143,10.373263,0.101006,3.508312,1.511777
144,18.153411,0.076173,1.842958,0.609857
145,23.702172,0.091514,2.379471,0.655277
146,17.304805,0.079568,3.061779,1.330323
147,10.481189,0.080662,3.738292,1.051020
148,10.660248,0.092939,2.902135,0.737198
149,8.124097,0.072497,2.020056,0.843387
150,15.127869,0.080874,2.621263,1.337495
151,15.293282,0.072623,1.971848,0.728357
152,9.219562,0.068410,2.566823,1.277108
153,10.580744,0.084539,3.040248,1.136509
154,20.897805,0.086406,3.026822,1.292902
155,17.132274,0.078893,2.824314,0.718118
156,13.506659,0.080164,3.331666,1.705890
157,19.850355,0.085758,3.514222,1.260212
158,14.539784,0.086003,3.185661,1.568018
159,14.326911,0.083993,3.018301,1.394898
160,12.271537,0.083326,3.092600,1.321432
161,11.665823,0.058024,2.479089,0.261911
162,8.571570,0.068222,3.557826,1.376813
163,7.124410,0.093473,2.609528,1.167155
164,10.211776,0.085528,3.973927,1.451072
165,17.319794,0.082803,2.774284,0.680966
