week,elAppWT,elScanWT,urScanWT,OT
0,1330.275738,0.071253,1.258329,0.156678
1,1336.513412,0.089051,1.772156,0.602632
2,1342.179476,0.093114,2.140435,0.656654
3,1338.073913,0.070218,2.155307,0.904194
4,1334.624836,0.068905,2.130035,1.531631
5,1336.298442,0.055089,0.916764,0.160957
6,1337.552466,0.055607,0.890066,0.162656
7,1343.102368,0.069322,1.347471,0.258559
8,1356.851899,0.062615,1.572194,0.236321
9,1354.805743,0.059521,1.018445,0.146900
10,1350.178988,0.073943,1.785034,0.475898
11,1352.304417,0.099712,2.342946,0.976446
12,1353.094645,0.076122,2.181845,0.923215
13,1358.154230,0.067722,1.577435,0.767804
14,1359.515906,0.065200,1.377721,0.129319
15,1356.201750,0.069182,1.409964,0.575608
16,1352.245527,0.090202,1.635835,0.979951
17,1366.980557,0.070195,1.948408,0.967692
18,1381.016808,0.073118,2.074848,1.674820
19,1389.152437,0.071970,2.006776,0.551424
20,1400.138948,0.071515,1.654091,0.860093
21,1407.138916,0.069087,1.423734,0.222358
22,1416.041697,0.064480,1.809972,0.575781
23,1410.670430,0.071308,2.232510,0.906821
24,1396.225945,0.075190,1.310083,0.173111
25,1402.839771,0.041707,1.768318,0.482326
26,1420.058858,0.068456,1.702738,1.290814
27,1427.323511,0.065376,1.517055,0.858402
28,1429.316528,0.069617,1.935576,0.878792
29,1437.960796,0.067544,1.971526,1.345152
30,1446.659544,0.047224,1.877429,0.825208
31,1457.015333,0.087389,1.686961,0.819059
32,1463.441860,0.092930,1.608464,0.688440
33,1462.367945,0.071243,1.958818,0.310759
34,1462.363469,0.082264,2.120646,0.675053
35,1443.129127,0.070816,2.547756,1.382928
36,1447.169153,0.064399,1.114580,0.211839
37,1450.210395,0.072026,1.449118,0.147946
38,1444.106443,0.092555,1.820709,0.571833
39,1445.267373,0.054817,1.573427,0.486023
40,1444.016447,0.079969,1.954397,0.585985
41,1444.483243,0.083491,2.199373,0.695832
42,1455.707459,0.075910,2.635369,1.310575
43,1462.910974,0.082463,1.679591,0.303632
44,1483.469801,0.071316,1.562528,0.517420
45,1481.997169,0.085032,1.871414,0.929398
46,1475.348320,0.061934,2.275529,0.926507
47,1481.306278,0.068945,1.701869,0.525731
48,1484.608943,0.072361,2.470700,0.983329
49,1486.590779,0.095940,1.574250,0.745670
50,1481.564033,0.061034,2.113672,1.260526
51,1473.986852,0.093292,1.353063,0.254315
52,1478.165158,0.112014,1.944625,0.625696
53,1466.002585,0.088166,2.147393,0.651603
54,1483.040711,0.056081,1.962669,0.643833
55,1503.702500,0.048535,1.542700,0.471622
56,1507.718440,0.058490,1.745349,0.925366
57,1515.647478,0.058260,1.818921,0.908205
58,1503.675983,0.081112,1.971329,0.659999
59,1511.383356,0.071242,1.250229,0.501792
60,1519.099522,0.063078,2.019325,0.466844
61,1528.353552,0.087125,2.515146,1.017402
62,1537.733397,0.078761,1.897654,0.891220
63,1552.878511,0.079871,1.724315,0.243726
64,1561.247181,0.065177,1.674520,1.250611
65,1561.124100,0.053037,1.673368,0.542953
66,1560.215345,0.099082,1.302131,0.592257
67,1562.550546,0.105168,2.126461,0.704969
68,1566.205767,0.100497,1.784533,0.593195
69,1576.351416,0.077984,1.929685,0.915532
70,1587.980568,0.092800,2.082489,0.997585
71,1579.133151,0.070243,2.532969,1.353042
72,1585.405755,0.081282,1.136504,0.617655
73,1594.968130,0.071031,2.189893,1.308113
74,1585.854715,0.064407,1.669561,0.511970
75,1586.390702,0.078593,1.727080,0.234492
76,1572.453896,0.071679,1.501723,0.682750
77,1567.445197,0.085336,2.025703,0.924666
78,1562.134917,0.070673,1.343760,0.497066
79,1559.601894,0.066211,2.408809,1.216803
80,1557.229732,0.103470,1.533637,0.713290
81,1569.394116,0.064553,1.845529,0.554687
82,1572.535794,0.073093,2.161901,1.030918
83,1575.209908,0.079411,1.283482,0.226924
