week,elAppWT,elScanWT,urScanWT,OT
0,36.157078,0.178005,2.197967,0.098191
1,35.680533,0.184715,2.747739,0.637337
2,36.121143,0.188363,2.841322,0.581840
3,30.720607,0.174407,2.969632,0.858435
4,28.395648,0.195562,2.590146,1.137389
5,49.030008,0.194399,2.248109,0.130576
6,58.872616,0.189891,1.757336,0.088993
7,51.003392,0.189004,1.943637,0.134249
8,46.225646,0.178972,2.659147,0.254820
9,42.164003,0.191218,2.015947,0.043738
10,42.497037,0.196914,2.248075,0.049650
11,34.413425,0.168817,3.154900,0.658211
12,33.116074,0.186426,2.937066,0.578930
13,35.908304,0.196691,2.667402,0.757088
14,45.191655,0.193036,2.522996,0.119080
15,56.720153,0.183543,2.172736,0.253035
16,70.702094,0.200834,2.437789,0.956618
17,81.356852,0.172567,1.862395,0.550044
18,88.135541,0.199692,2.670326,1.035777
19,101.306167,0.205130,2.656436,0.556685
20,93.913497,0.185030,2.700641,0.559305
21,81.862279,0.207839,2.454597,0.110104
22,71.876898,0.165123,2.512889,0.610648
23,81.076373,0.184786,2.878632,0.851741
24,89.263527,0.185854,1.977507,0.165036
25,81.450594,0.186405,2.076275,0.391149
26,74.550393,0.195540,2.478422,0.983700
27,83.044468,0.197783,1.965126,0.165832
28,91.960963,0.185866,2.331014,0.095522
29,99.608296,0.214178,2.278196,0.254902
30,107.148478,0.217922,2.032909,0.488383
31,110.239069,0.200551,1.953714,0.086491
32,106.224765,0.174945,2.160970,0.638654
33,101.891111,0.190872,2.684664,0.178799
34,96.399963,0.163799,2.646040,0.221287
35,94.145786,0.174644,2.722731,0.972406
36,93.991117,0.180139,1.758217,0.121845
37,90.519743,0.174660,2.460752,0.165876
38,82.010095,0.187012,3.058860,0.613589
39,88.743293,0.180247,2.254759,0.111984
40,90.470884,0.201476,2.799066,0.199274
41,99.892210,0.178723,2.877182,0.613554
42,97.199836,0.181048,2.809326,0.946013
43,89.519214,0.174566,2.689977,0.254812
44,95.976037,0.172840,2.481275,0.126493
45,97.622969,0.180680,2.317452,0.588596
46,94.543279,0.187358,3.060810,0.248929
47,96.714530,0.163826,2.330105,0.105243
