week,elAppWT,elScanWT,urScanWT,OT
0,188.735155,0.088488,2.630862,0.254588
1,186.835391,0.093638,3.124944,0.513221
2,197.734074,0.079036,1.783183,0.056673
3,209.712942,0.085226,2.625885,0.935376
4,206.863006,0.097423,2.138753,0.588579
5,208.973441,0.077540,2.220094,0.510218
6,218.027931,0.082018,3.021751,0.573539
7,216.483545,0.094271,2.307951,0.420789
8,210.781166,0.091021,2.773776,0.276047
9,214.398344,0.098734,2.385730,0.193138
10,203.268146,0.102220,2.592425,0.574339
11,196.680150,0.085861,2.652774,0.541037
12,202.271207,0.088200,2.961053,0.855117
13,199.384664,0.063303,2.837195,0.557808
14,197.787900,0.087049,2.834708,0.604175
15,197.049554,0.079157,2.743987,0.265504
16,194.790911,0.092608,2.622403,0.647947
17,199.041167,0.101580,2.157854,0.443810
18,196.538717,0.074446,2.795610,0.077201
19,187.043276,0.097892,2.800046,0.895616
20,194.528992,0.081719,2.601642,0.490379
21,191.179867,0.086962,2.554665,0.117922
22,182.000105,0.110773,2.974146,1.012165
23,179.690592,0.073157,1.955600,0.132639
24,185.410987,0.082720,2.666109,0.299554
25,185.163509,0.083160,2.732358,0.151335
26,185.721471,0.098215,2.372509,0.563130
27,181.046533,0.086787,3.429112,0.502754
28,187.712500,0.089585,2.391534,0.212793
29,193.646520,0.107122,2.811223,1.048122
30,203.234742,0.066785,2.107064,0.500854
31,200.384632,0.077820,2.417732,1.158923
32,207.097806,0.093499,2.292177,0.623143
33,216.898400,0.089308,2.538724,0.497323
34,224.467288,0.091696,2.686968,0.816842
35,224.062380,0.096988,2.775180,0.176104
36,218.094676,0.087644,2.373013,0.171612
37,220.555498,0.087920,2.454797,0.087372
38,224.583212,0.090958,2.127113,0.423323
39,217.317490,0.086146,2.370851,0.571995
40,214.122909,0.106732,2.306652,0.037732
41,215.666679,0.086146,1.773134,0.105804
42,201.526925,0.115629,2.907024,0.472219
43,192.077398,0.110799,2.851015,0.853169
44,176.434027,0.104588,2.558686,0.475026
45,177.289405,0.072098,2.649843,0.356840
46,180.828367,0.097051,2.351833,0.176649
47,180.641235,0.089237,1.924972,0.427205
48,176.597075,0.090809,2.190082,0.344663
49,178.810154,0.098314,1.780742,0.132384
50,186.439020,0.126367,2.811925,0.527609
51,181.810183,0.067330,2.329046,0.167688
52,187.337411,0.079927,2.454226,0.337616
53,185.044201,0.076468,2.161207,0.143784
54,185.036690,0.082592,2.233902,0.506312
55,186.215493,0.093284,2.323846,0.118950
56,187.624860,0.069974,3.037998,1.296184
57,185.732329,0.074354,2.469597,0.072309
58,191.650917,0.075576,3.114896,0.889882
59,191.660035,0.081385,1.568930,0.040937
60,205.696165,0.082891,2.570017,0.122906
61,219.663136,0.095785,3.013704,1.688759
62,229.006145,0.079535,1.419997,0.116615
63,242.567246,0.079754,2.574810,0.462495
64,238.895075,0.060864,2.714842,0.490151
65,237.268685,0.097197,2.505812,0.574558
66,240.843591,0.076847,2.348911,0.425803
67,231.509279,0.096875,2.544294,0.172418
68,220.867900,0.085477,2.417844,0.167172
69,224.685722,0.092454,2.146599,0.111866
70,239.181609,0.074050,2.892628,0.320135
71,242.506029,0.086304,2.519161,0.457251
72,232.536970,0.078359,2.029643,0.059786
73,232.883426,0.084802,2.440696,0.851661
74,230.376052,0.065612,2.902846,0.835482
75,235.252292,0.095962,1.689497,0.081791
76,218.782771,0.081093,2.733276,0.791340
77,209.477725,0.091483,2.885160,0.394191
78,226.249767,0.070553,3.101510,0.474082
79,243.110035,0.098382,2.119207,0.468732
80,245.419326,0.098016,2.820282,0.167721
81,252.416850,0.097258,2.594092,0.620337
82,240.448170,0.075420,1.425350,0.148629
83,251.519268,0.085014,1.754491,0.122466
84,248.935030,0.091933,2.028857,0.446138
85,246.803444,0.106226,2.583967,0.077993
86,243.958812,0.108326,2.431233,0.935210
87,236.969479,0.091048,2.506771,0.271926
88,228.695936,0.079337,1.981283,0.475516
89,226.940303,0.103977,2.415421,0.155530
90,240.947646,0.087923,2.585360,0.918953
91,250.617140,0.095145,2.622644,0.422133
92,255.044015,0.099120,2.384983,0.577976
93,259.308305,0.100344,3.074253,0.579859
94,256.768741,0.100656,1.953235,0.804589
95,258.941123,0.074630,2.495229,0.437405
96,257.299958,0.090800,2.380160,0.595994
97,258.684233,0.095988,2.858066,0.625516
98,271.405237,0.083733,1.832465,0.151737
99,272.970403,0.084462,2.025918,0.453728
100,276.131252,0.071790,1.884097,0.520053
101,289.303058,0.066253,2.220380,0.123286
102,299.116497,0.069466,2.481429,0.189243
103,290.566844,0.090578,3.216822,0.921063
104,298.861500,0.101538,2.187576,0.513324
105,299.207290,0.090686,2.094697,0.166349
106,296.062101,0.093639,2.799413,0.134165
107,299.284778,0.072729,3.182390,1.039076
108,307.350234,0.077765,2.658183,0.216885
109,305.489455,0.095049,2.652434,0.143642
110,305.072785,0.076425,2.525103,0.196623
111,285.873433,0.062171,2.046203,0.637491
112,284.113128,0.066734,2.464615,0.174476
113,283.265093,0.088359,2.459443,0.149890
114,283.266568,0.110394,2.523540,0.368651
115,294.952778,0.094825,2.517914,0.159666
116,315.960469,0.077244,2.530704,0.688717
117,314.683479,0.105170,2.146589,0.166461
118,317.929875,0.093841,2.719430,0.843359
119,303.509891,0.072580,2.582991,0.549468
120,299.327236,0.082014,3.296648,0.966134
121,304.490387,0.077663,2.601791,0.091806
122,312.638597,0.084653,2.903010,0.827140
123,322.930363,0.070890,1.867397,0.447543
124,307.376642,0.080319,2.089147,0.526279
125,294.033463,0.072117,2.296030,0.026168
126,287.419245,0.081306,2.753885,0.527083
127,277.200764,0.076770,1.994010,0.066517
128,272.875621,0.090539,3.112765,0.196840
129,281.137984,0.086443,2.027335,0.417250
130,280.903557,0.090531,2.867382,0.196956
131,271.433729,0.082306,2.603052,0.233151
132,276.814377,0.106216,2.422934,0.117531
133,293.979703,0.093818,2.129694,0.058307
134,281.878882,0.070878,2.912065,0.881770
135,278.092354,0.084365,2.095261,0.211485
136,281.162003,0.082808,3.559502,0.504579
137,270.202007,0.090110,2.408808,0.088352
138,267.832394,0.076548,2.360266,0.423059
139,270.134786,0.079718,2.784477,1.259975
140,273.543726,0.090839,2.239360,0.097216
141,280.857037,0.095490,2.530613,0.325701
142,275.966812,0.090605,2.369356,0.599269
143,276.038494,0.087546,2.937752,0.548001
144,265.054549,0.062734,1.379683,0.059760
