week,elAppWT,elScanWT,urScanWT,OT
0,525.716544,0.172646,2.137922,0.090309
1,528.808265,0.178563,2.694699,0.585216
2,527.767706,0.196431,2.874415,0.603970
3,519.922407,0.183569,2.959953,0.830221
4,520.837686,0.212561,2.603791,1.128366
5,539.964769,0.192132,2.121417,0.080027
6,549.241542,0.203373,1.757118,0.108685
7,540.802628,0.203822,1.944823,0.164791
8,532.942071,0.186378,2.573197,0.198680
9,526.475769,0.174956,1.996479,0.069501
10,531.837316,0.197905,2.303386,0.066058
11,545.346810,0.192610,3.114496,0.608308
12,544.507674,0.179330,2.856112,0.508912
13,544.466717,0.193149,2.676941,0.753435
14,547.269953,0.203297,2.497183,0.113560
15,558.075434,0.194267,2.118492,0.207377
16,561.351137,0.175802,2.399841,0.920448
17,558.900482,0.190490,1.904063,0.552494
18,568.027107,0.202657,2.608024,0.995350
19,580.477567,0.183963,2.630611,0.552071
20,586.921773,0.198005,2.555663,0.475513
21,581.630893,0.183187,2.428236,0.083075
22,590.164054,0.175113,2.405719,0.550476
23,604.242647,0.156360,2.834983,0.851375
24,608.287586,0.174456,1.910957,0.122444
25,612.303949,0.188246,2.058180,0.358137
26,606.025240,0.187961,2.490196,0.988584
27,607.841288,0.201783,1.896063,0.122327
28,603.841367,0.185890,2.302869,0.081695
29,604.145835,0.201742,2.210274,0.202827
30,617.919456,0.204505,2.038287,0.440757
31,608.929246,0.193465,1.908294,0.044613
32,599.941341,0.177171,2.111645,0.630567
33,598.975153,0.191695,2.709762,0.208640
34,601.400839,0.188797,2.612081,0.169362
35,609.308470,0.195332,2.669479,0.942799
36,613.884220,0.209608,1.769235,0.096130
37,620.860038,0.177971,2.428497,0.121061
38,614.657040,0.187470,3.022701,0.565962
39,615.623762,0.166496,2.196819,0.071608
40,622.148427,0.187034,2.773512,0.182025
41,627.216333,0.180676,2.874668,0.611100
42,618.553181,0.194200,2.735215,0.888198
43,618.833944,0.186393,2.625917,0.200669
44,622.466204,0.184657,2.485958,0.159606
45,633.598669,0.168759,2.203740,0.493643
46,624.892237,0.204253,2.993395,0.210240
47,621.199064,0.173920,2.351988,0.127188
48,624.114892,0.196694,3.339946,0.952673
49,613.928074,0.196947,2.125878,0.619674
50,609.173601,0.182783,2.197274,0.474340
51,621.254257,0.177855,2.165128,0.180384
52,638.691919,0.175105,2.327859,0.234109
53,659.374815,0.176882,2.629271,0.167540
54,655.005803,0.186334,2.267243,0.514169
55,655.493850,0.186183,2.300652,0.453183
56,660.124639,0.189506,2.125619,0.183942
57,661.882609,0.191022,2.760656,0.936270
58,658.203739,0.187334,2.035422,0.536484
59,672.639407,0.228241,1.932874,0.105807
60,679.075416,0.190031,2.503566,0.105100
61,682.070509,0.185510,3.403640,1.001115
62,685.036578,0.201950,2.148764,0.150735
63,682.884025,0.193827,2.445033,0.177888
64,674.791051,0.183067,1.906556,0.131771
65,669.676415,0.193150,2.512909,0.489194
66,670.658351,0.189011,2.266607,0.117637
67,676.839910,0.179529,2.705782,0.608633
68,680.805820,0.171607,3.141484,0.632105
69,685.662241,0.196821,1.799306,0.115055
70,686.921993,0.177020,2.272039,0.154810
71,671.618006,0.191759,3.086578,1.017177
72,662.299629,0.201101,1.979454,0.518886
73,648.106505,0.191507,3.182581,1.038410
74,655.651170,0.184450,2.547566,0.148851
75,658.643503,0.205375,2.365330,0.226145
76,655.495305,0.168467,2.672242,0.617102
77,650.310947,0.202141,3.083742,0.501975
78,642.689597,0.191961,2.507541,0.096750
79,650.465111,0.193338,3.124145,1.173999
80,659.541113,0.192965,2.303628,0.294390
81,669.431823,0.195399,2.429321,0.534628
82,672.244446,0.173494,2.491122,0.902542
83,679.486910,0.168270,2.350741,0.154597
84,679.953012,0.212926,2.238520,0.061062
85,672.260831,0.187223,1.941792,0.142128
86,673.875464,0.176390,3.054167,1.013980
87,678.136061,0.211918,2.128814,0.108994
88,677.538111,0.181613,2.893423,0.643489
89,668.774558,0.183445,2.013221,0.165369
90,664.237377,0.184491,2.543732,1.078236
91,667.563952,0.187286,3.096522,0.597242
92,674.835804,0.174403,2.652328,0.860797
93,659.959169,0.198004,2.637411,0.134661
94,658.992628,0.218645,2.093919,0.151294
95,674.564135,0.193046,2.796478,0.534729
96,680.058761,0.202469,3.285097,0.186941
97,678.868899,0.196809,2.713113,0.571378
98,669.377045,0.222621,1.959097,0.853013
99,654.044869,0.185999,2.601987,0.422026
100,651.478527,0.177092,2.395122,0.067032
101,658.463075,0.169801,2.383021,0.476565
102,660.008634,0.187372,2.609877,0.572383
103,658.150825,0.191326,3.318826,0.877552
104,651.358062,0.203515,3.001990,0.659221
105,649.774314,0.189002,2.907165,0.276901
106,655.773587,0.173941,2.654363,0.787306
107,666.018847,0.173580,2.795274,0.596805
108,673.680473,0.196415,1.910353,0.100917
109,671.123502,0.175902,1.856448,0.045780
110,666.612880,0.204403,3.180190,0.590495
111,662.542167,0.190277,2.908330,0.918262
112,667.440394,0.177163,2.040368,0.502827
