week,elAppWT,elScanWT,urScanWT,OT
0,1330.744939,0.086600,2.129837,0.054258
1,1336.912650,0.077105,2.718573,0.583620
2,1342.577551,0.097913,2.865723,0.577288
3,1338.709450,0.093767,2.972036,0.828199
4,1334.780036,0.080954,2.552371,1.101537
5,1336.689798,0.068565,2.056151,0.058383
6,1337.951496,0.070437,1.753789,0.071769
7,1343.480396,0.084282,1.873210,0.106266
8,1357.162288,0.072840,2.524834,0.195977
9,1355.201205,0.098758,1.995610,0.064441
10,1350.580489,0.096320,2.310017,0.056983
11,1352.701826,0.092894,3.166886,0.588485
12,1353.543140,0.074469,2.886535,0.526016
13,1358.472520,0.086265,2.604628,0.716265
14,1359.923788,0.076493,2.437588,0.058490
15,1356.582168,0.085375,2.075184,0.169663
16,1352.645565,0.092073,2.439258,0.929489
17,1367.353207,0.098770,1.867943,0.517101
18,1381.340086,0.093700,2.591369,0.950485
19,1389.470397,0.069069,2.584057,0.496859
20,1400.523121,0.067863,2.507429,0.424595
21,1407.517775,0.089001,2.428811,0.093283
22,1416.372332,0.076903,2.340363,0.519043
23,1411.126646,0.081829,2.816742,0.787255
24,1396.618163,0.096285,1.981757,0.117273
25,1403.168512,0.070938,2.069979,0.368717
26,1420.440611,0.074216,2.378056,0.910048
27,1427.714432,0.068884,1.809477,0.069300
28,1429.715557,0.079713,2.343947,0.109581
29,1438.353081,0.070717,2.193789,0.185651
30,1447.032885,0.060592,1.983791,0.425190
31,1457.173003,0.088669,2.000610,0.024701
32,1463.838262,0.101473,2.132755,0.628286
33,1462.746045,0.096009,2.726524,0.218649
34,1463.002520,0.082845,2.659334,0.187008
35,1443.286728,0.085154,2.706265,0.963790
36,1447.801499,0.088320,1.762870,0.089692
37,1450.606886,0.074886,2.394718,0.098782
38,1444.499412,0.078839,2.948579,0.542474
39,1445.424418,0.077109,2.203944,0.048746
40,1444.656950,0.083870,2.748095,0.169896
41,1444.882775,0.079237,2.909295,0.618691
42,1456.086353,0.092102,2.761153,0.867195
43,1463.294413,0.109712,2.686302,0.221300
44,1483.619145,0.086740,2.465936,0.128107
45,1482.644743,0.083402,2.230247,0.472378
46,1475.737924,0.065491,3.002265,0.203195
47,1481.460758,0.082394,2.328576,0.075114
48,1484.994195,0.070560,3.305495,0.915326
49,1487.223815,0.075198,2.084691,0.603233
50,1481.975600,0.079065,2.219681,0.480680
51,1474.371419,0.088868,2.156473,0.179509
52,1478.634927,0.092437,2.320807,0.169922
53,1466.395881,0.084013,2.712101,0.186620
54,1483.348018,0.078519,2.278840,0.559411
55,1503.853837,0.074887,2.275881,0.432409
56,1508.092128,0.073849,2.084006,0.163872
57,1516.052556,0.068996,2.633055,0.874200
58,1504.077052,0.099766,2.024320,0.503778
59,1511.768682,0.085399,1.839383,0.075816
60,1519.488857,0.070267,2.389479,0.064825
61,1528.756291,0.097123,3.386256,0.992595
62,1538.035110,0.084806,2.120767,0.114778
63,1553.266124,0.104969,2.531554,0.196534
64,1561.628739,0.098195,1.845853,0.093378
65,1561.532377,0.069045,2.504113,0.456444
66,1560.601468,0.106094,2.243513,0.180710
67,1562.938590,0.102022,2.734442,0.611563
68,1566.595546,0.098991,3.152641,0.599536
69,1576.672173,0.103638,1.749871,0.108731
70,1588.358907,0.099651,2.272552,0.174451
71,1579.464831,0.104249,3.033495,0.948342
72,1585.716967,0.081339,1.975267,0.488446
73,1595.351737,0.085981,3.068397,0.959186
74,1586.326048,0.098152,2.517447,0.122987
75,1586.772508,0.090124,2.353174,0.148267
76,1572.862841,0.072437,2.624701,0.583961
77,1567.840453,0.079734,3.096492,0.503862
78,1562.450699,0.083797,2.497932,0.111185
79,1559.994336,0.089471,3.108481,1.137508
80,1557.615207,0.090555,2.359825,0.309352
81,1569.781440,0.069174,2.375320,0.485014
82,1572.915766,0.085305,2.496905,0.891312
83,1575.355913,0.084942,2.308011,0.142350
84,1579.687192,0.075940,2.239038,0.026329
85,1573.611687,0.084489,1.974369,0.126276
86,1572.722609,0.087358,3.078157,1.016613
87,1580.244746,0.085521,1.992782,0.065912
88,1593.703762,0.076940,2.922504,0.638438
89,1589.609413,0.086674,2.105951,0.209213
90,1602.721032,0.085454,2.553915,1.118621
91,1601.846901,0.098881,3.008975,0.567383
92,1599.999888,0.080185,2.581843,0.815284
93,1589.057204,0.077845,2.563839,0.123966
94,1579.935920,0.075579,2.071712,0.132844
95,1572.633696,0.074333,2.767467,0.511886
96,1580.859390,0.079972,3.236817,0.145905
97,1569.483241,0.084800,2.640186,0.512469
98,1583.507194,0.126582,1.959902,0.809705
99,1595.744456,0.078221,2.572756,0.439947
100,1591.629612,0.103904,2.481243,0.065494
101,1593.976309,0.088165,2.441468,0.459083
102,1592.324821,0.099344,2.605913,0.551976
103,1595.156079,0.071834,3.275967,0.814501
104,1602.403040,0.072566,2.942438,0.618275
105,1598.873438,0.077256,2.831619,0.179478
106,1585.493021,0.089009,2.644000,0.797950
107,1583.546072,0.085956,2.798425,0.605897
108,1590.072152,0.061887,1.891525,0.068510
109,1597.297952,0.056819,1.830278,0.056345
110,1603.212881,0.075864,3.115789,0.530017
111,1600.963329,0.091126,2.888559,0.855981
112,1592.314917,0.075311,2.045085,0.458755
113,1601.403347,0.100046,2.545371,0.948297
114,1594.138473,0.072638,2.705242,0.957857
115,1609.529994,0.067631,2.230519,0.079002
116,1606.938775,0.099713,3.019878,0.372360
117,1608.166465,0.092564,2.563218,0.401313
118,1608.952073,0.077584,2.349646,0.850222
119,1602.083629,0.088742,2.524593,0.530736
120,1598.123810,0.099267,2.327755,0.513772
121,1595.736403,0.088947,2.716020,0.176624
122,1592.066330,0.077692,2.547973,0.479512
123,1597.869433,0.107684,2.417827,0.507491
124,1592.832667,0.079752,2.261410,0.521547
125,1607.621448,0.089221,2.588357,1.211474
126,1618.571398,0.096739,3.016794,0.862132
127,1619.623204,0.071727,2.326320,0.133863
128,1634.609919,0.079720,2.588523,0.914124
129,1656.342920,0.104634,2.970225,0.488216
130,1659.284018,0.070558,2.173377,0.184134
131,1667.902239,0.070611,2.125077,0.420522
132,1685.210323,0.098709,3.495736,0.836505
133,1686.047066,0.090564,2.982969,1.200767
134,1686.949381,0.071146,2.742374,0.364889
135,1679.748254,0.091386,2.611266,0.447334
136,1672.818633,0.099248,2.274431,0.182601
137,1679.267222,0.077336,2.540747,0.065605
138,1678.210622,0.075949,1.856494,0.115387
139,1683.567164,0.080783,2.584852,0.645700
140,1682.423535,0.066077,2.399076,0.260262
141,1685.306175,0.067968,2.771765,0.922525
142,1685.858697,0.096046,2.421118,0.232469
143,1683.161953,0.081923,2.341498,0.076533
144,1687.409282,0.085786,2.421391,0.136579
145,1683.320072,0.084127,2.143681,0.176004
146,1682.158652,0.086840,2.428469,0.536637
147,1694.977680,0.069731,2.699540,0.784865
148,1675.072786,0.105689,2.404910,0.168097
149,1662.364323,0.066899,2.345597,0.109894
150,1653.491051,0.073556,2.180083,0.143876
151,1634.464804,0.095573,2.029770,0.510878
152,1644.447891,0.088993,2.477378,0.147189
153,1655.881282,0.101474,1.696878,0.844706
154,1647.216274,0.081751,3.170947,0.521554
155,1642.132377,0.062885,2.279113,0.175572
156,1644.841864,0.082193,2.104734,0.233661
157,1646.455508,0.098923,2.561367,1.161045
158,1656.755207,0.074863,2.461667,0.268719
159,1661.955101,0.072461,2.778262,0.449150
160,1658.543178,0.066755,1.739336,0.190057
161,1657.897934,0.086797,2.637519,0.094388
162,1654.240488,0.080327,2.801431,0.853732
163,1672.966736,0.075887,2.341964,0.529294
164,1671.107137,0.074373,2.086489,0.048644
165,1679.193415,0.082370,1.863765,0.212314
166,1687.013149,0.072172,1.828632,0.428738
167,1680.863749,0.072530,2.330303,0.484285
168,1663.672026,0.071779,2.215301,0.074562
169,1658.224986,0.073909,2.534786,0.917394
170,1666.816237,0.088308,3.149538,1.221945
171,1662.841185,0.054352,2.562725,0.456440
