week,elAppWT,elScanWT,urScanWT,OT
0,1330.716029,0.178411,1.484772,0.491022
1,1336.987965,0.208163,1.851649,0.637728
2,1342.624585,0.186812,2.181185,0.682839
3,1338.642423,0.166486,2.060414,0.903635
4,1335.057038,0.177511,2.850508,1.593585
5,1336.811454,0.171106,1.113155,0.179894
6,1338.050172,0.163382,1.135203,0.551780
7,1343.603107,0.179990,1.872988,0.645067
8,1357.356287,0.177756,1.806587,0.594112
9,1355.378251,0.180534,1.574363,0.535658
10,1350.680866,0.171516,1.836861,0.806217
11,1352.731969,0.212159,2.402038,0.983878
12,1353.610048,0.196227,1.996114,0.933249
13,1358.656401,0.169033,2.545943,1.156156
14,1360.022488,0.166522,1.805522,0.193149
15,1356.705151,0.170512,1.887210,0.922302
16,1352.745463,0.186055,2.127210,1.031948
17,1367.468660,0.180070,1.854264,0.973436
18,1381.519405,0.191300,2.500415,1.739348
19,1389.655526,0.168981,2.353238,1.293308
20,1400.410710,0.157132,1.669292,0.869473
21,1407.639196,0.178761,1.834084,0.561484
22,1416.776187,0.183120,1.848849,0.591626
23,1411.186872,0.175013,2.160105,0.904523
24,1396.730093,0.165192,1.765675,0.517837
25,1403.333922,0.150279,1.892727,0.493412
26,1420.319242,0.171094,2.815499,1.775242
27,1427.828409,0.172665,1.820437,0.911620
28,1429.805027,0.183731,2.079260,0.877172
29,1438.393870,0.166927,2.217600,1.366253
30,1447.229626,0.153445,2.768920,0.856666
31,1457.437073,0.197060,1.790799,0.813299
32,1463.947786,0.188380,1.577743,0.720125
33,1462.877926,0.173645,2.165027,0.332401
34,1462.941069,0.176054,2.254932,0.669578
35,1443.639253,0.182571,2.976622,1.452700
36,1447.597858,0.178754,1.500454,0.605187
37,1450.716172,0.173045,1.665268,0.499965
38,1444.679907,0.189909,1.891106,0.911807
39,1445.700891,0.160371,1.792933,0.494717
40,1444.526583,0.168229,2.168283,0.568128
41,1444.900272,0.198627,2.087246,0.681423
42,1456.205894,0.194726,2.448324,1.306448
43,1463.409662,0.186436,1.875540,0.656168
44,1483.898147,0.174144,1.620216,0.552403
45,1482.502911,0.182633,1.867054,0.941808
46,1475.844432,0.167413,2.289597,0.950463
47,1481.812683,0.180019,1.719401,0.542804
48,1485.112612,0.179053,2.556853,1.343933
49,1487.155806,0.202089,1.686600,1.100990
50,1482.008999,0.174284,2.257533,1.302576
51,1474.471502,0.193711,1.909797,0.660716
52,1478.665268,0.194415,2.254861,0.998018
53,1466.521225,0.182045,2.460443,1.024994
54,1483.466231,0.175434,2.326602,1.007903
55,1504.206766,0.158208,1.661960,0.811359
56,1508.215215,0.171462,1.607708,0.939910
57,1516.156716,0.164220,2.064341,0.913136
58,1504.237370,0.181599,2.050339,0.715407
59,1511.812396,0.177184,1.671803,0.547634
60,1519.358421,0.169799,1.861447,0.457604
61,1528.848209,0.201195,2.366722,1.028771
62,1538.226800,0.191245,1.894203,1.234521
63,1553.381444,0.178102,1.935830,0.552876
64,1561.688162,0.169299,1.764140,1.270249
65,1561.684787,0.161902,2.117151,0.937110
66,1560.664758,0.191242,1.764133,1.310625
67,1563.110622,0.203366,2.395178,1.077539
68,1566.642087,0.206714,1.770265,0.604230
69,1576.843302,0.188049,1.825653,0.949009
70,1588.567238,0.199520,2.028034,1.006068
71,1579.635750,0.179114,2.605922,1.723203
72,1585.910510,0.186550,1.472989,0.644671
73,1595.488494,0.187977,2.114543,1.300341
74,1586.360454,0.179285,1.983040,0.567361
75,1586.887843,0.178506,1.863490,0.250111
76,1573.201649,0.185825,2.153896,1.087711
77,1567.962954,0.182639,1.990560,0.915596
78,1562.646072,0.173219,1.415745,0.529050
79,1560.178117,0.173299,2.379263,1.256923
80,1557.725934,0.188926,2.052960,1.069112
81,1569.897101,0.181856,2.171896,0.932812
82,1573.046658,0.182678,2.423423,1.373510
83,1575.722369,0.184480,1.139427,0.215652
84,1579.868334,0.158149,1.895646,0.865931
85,1573.809372,0.172268,1.565497,0.883416
86,1572.816095,0.178251,2.900169,1.830240
87,1580.391200,0.167496,1.621258,0.850208
88,1593.803356,0.182987,2.648885,1.466595
89,1589.642018,0.184734,1.546808,0.282967
90,1602.916903,0.216199,3.027657,1.738017
91,1602.037881,0.194051,2.397474,0.655571
92,1600.091622,0.169908,2.333587,1.632625
93,1589.090859,0.173793,2.100364,0.529858
94,1580.125291,0.171175,1.736650,1.254997
95,1572.765283,0.181782,2.375823,1.286912
96,1580.892764,0.183305,2.157732,0.557643
97,1569.504197,0.185610,1.693773,0.925812
98,1583.630471,0.188940,1.726453,0.921039
99,1595.915511,0.176789,1.906904,0.875523
100,1591.721688,0.197550,1.760012,0.157733
101,1594.048568,0.176216,1.715663,0.876001
102,1592.418258,0.186230,1.996322,0.642743
103,1595.242817,0.183134,1.970906,0.848108
104,1602.527493,0.158009,2.687195,1.399795
105,1599.059779,0.202170,1.667726,0.222688
106,1585.620190,0.178128,2.491317,1.264118
107,1583.646037,0.190575,2.681329,1.453542
108,1590.186454,0.165092,2.055414,0.954457
109,1597.400026,0.177488,2.128636,0.925729
110,1603.399753,0.193370,2.594076,0.652707
111,1601.094336,0.194434,2.004484,0.922028
112,1592.434197,0.175381,1.799910,0.952296
113,1601.499113,0.205268,2.233013,1.057023
114,1594.173477,0.198801,2.558801,1.430737
115,1609.630602,0.172275,2.065702,0.571138
