week,elAppWT,elScanWT,urScanWT,OT
0,13.772075,0.102701,3.121162,1.054361
1,22.799181,0.098121,4.063211,1.333628
2,28.309845,0.092986,2.437056,0.528266
3,24.651208,0.078128,3.189956,1.023848
4,23.923125,0.069356,2.260844,0.628955
5,18.790622,0.095288,3.131123,1.048512
6,13.466459,0.071469,3.574624,0.748106
7,10.654644,0.083285,2.859189,0.529026
8,12.972248,0.089233,3.185335,0.340292
9,11.863863,0.091480,3.317402,0.670899
10,11.508696,0.076898,3.381341,1.046991
11,10.091511,0.067339,3.398192,1.041931
12,10.855998,0.093492,3.555255,1.300344
13,9.328561,0.068868,3.185021,0.686655
14,12.169195,0.060539,3.318909,0.718563
15,21.427949,0.110649,2.941312,0.384160
16,16.630937,0.069223,3.323955,1.057992
17,14.598439,0.075966,3.431057,1.304755
18,15.746322,0.092417,3.631352,0.528866
19,20.682813,0.088533,3.418844,1.079321
20,16.047084,0.106555,3.469048,1.026247
21,9.187412,0.072184,3.832529,0.617815
22,11.498779,0.071023,3.778748,1.255675
23,11.563160,0.063897,2.775676,0.965400
24,23.708308,0.080972,3.065692,0.396927
25,11.480367,0.101498,2.812164,0.174908
26,9.013794,0.084995,3.317303,1.426421
27,12.199619,0.088923,3.845136,0.574888
28,10.226147,0.068643,2.730078,0.329365
29,14.839122,0.086061,3.269375,1.103215
30,16.026804,0.070287,2.673547,0.986544
31,16.854363,0.092466,3.621890,1.363926
32,17.253050,0.079393,2.662478,0.762712
33,18.831242,0.098716,3.218330,1.027472
34,9.486354,0.101533,3.687290,1.373973
35,16.562080,0.090366,3.551857,0.713628
36,17.449643,0.091838,2.977189,0.980655
37,18.807918,0.076095,3.168421,0.488829
38,13.400874,0.089091,2.503101,0.524894
39,13.251003,0.083451,2.644772,0.631870
40,8.507633,0.093878,2.897867,0.381361
41,9.134352,0.081714,2.840319,0.910615
42,9.220064,0.105098,4.300443,0.954086
43,7.219321,0.073570,3.503575,1.338641
44,9.914679,0.098086,3.113358,0.896605
45,12.590042,0.082440,3.214449,0.877375
46,9.440974,0.106732,2.534654,0.266882
47,9.518568,0.088116,2.653392,0.625088
48,11.620001,0.089691,2.948185,1.155972
49,8.594615,0.072905,2.622587,0.936840
50,14.806812,0.097200,3.410014,1.006150
51,20.081891,0.077011,2.881173,0.610187
52,18.090183,0.081584,3.075549,0.802996
53,28.400522,0.094891,2.925458,0.631299
54,18.132548,0.072265,2.965485,1.012115
55,17.882759,0.079358,2.703947,0.566470
56,17.498417,0.055696,3.812983,1.746132
57,17.107430,0.075202,2.944400,0.553548
58,27.709067,0.088521,3.767349,1.023158
59,29.056460,0.087507,2.102513,0.435450
60,22.178558,0.088187,3.150262,0.912898
61,38.691588,0.098484,3.979119,1.916287
62,51.144954,0.080628,2.034165,0.560814
63,38.726157,0.077061,3.128966,0.927238
64,22.683455,0.073247,2.932057,0.615903
65,18.533992,0.076704,3.295299,1.126631
66,13.587609,0.083882,3.354603,1.571505
67,11.429700,0.065684,2.875615,0.241081
68,20.422989,0.112043,3.317801,0.688991
69,17.775831,0.085768,2.292521,0.199075
70,16.358501,0.085214,3.536679,1.237842
71,17.204476,0.053180,3.161804,0.509548
72,9.950334,0.081716,3.001249,0.898877
73,11.393353,0.060616,3.199074,1.317047
74,15.603539,0.094855,3.717051,1.314993
75,10.867795,0.092745,2.417643,0.244853
76,13.839127,0.067559,3.162378,0.886333
77,16.810463,0.072348,3.769912,0.495890
78,19.920498,0.105224,3.669188,0.646382
79,20.282623,0.094427,2.886782,0.618753
80,22.073315,0.079997,3.287088,0.646725
81,26.441011,0.090430,3.103444,1.098753
82,21.367324,0.110295,1.630496,0.257680
83,25.863424,0.094130,2.159432,0.234202
84,13.488929,0.091177,2.898075,0.870608
85,9.480503,0.107612,3.296231,0.822905
86,9.865859,0.078643,2.878996,1.038935
87,7.882244,0.086342,2.902439,0.405220
88,10.712951,0.070338,2.768879,0.550064
89,12.138153,0.091964,2.995091,0.875138
90,22.926334,0.100210,3.220983,1.368769
91,24.225952,0.089454,3.182858,0.557583
92,29.821319,0.083844,2.990178,0.719400
93,26.051292,0.078928,3.643447,0.698904
94,23.513618,0.084513,2.946613,0.935641
95,16.399745,0.081926,3.397738,1.252003
96,15.775370,0.108154,3.257586,1.137172
97,11.166749,0.064331,3.153011,1.025854
98,19.315302,0.081868,1.984893,0.167400
99,21.937829,0.074417,2.446908,0.541433
100,28.460451,0.074641,2.474352,0.660927
101,28.807827,0.080095,2.802488,0.588204
102,35.317974,0.070953,3.231716,0.711943
103,30.959217,0.078944,3.810548,1.352124
104,19.304732,0.087687,3.017976,1.427004
105,14.445566,0.081777,2.712157,0.661894
106,13.809720,0.088280,3.816350,1.048797
107,18.483144,0.091907,3.915888,1.268168
108,20.236969,0.069561,3.102099,0.712560
109,11.152401,0.069063,3.075481,0.258673
110,9.719862,0.081731,3.100033,0.344854
111,12.282810,0.090355,2.379094,1.110602
112,13.841738,0.083113,3.837385,1.075883
113,23.524536,0.107851,3.013170,0.634097
114,28.392911,0.074810,2.959254,0.860747
115,32.956462,0.097656,3.293835,0.334750
116,30.611695,0.084797,3.373036,1.635883
117,11.630116,0.093229,2.960931,0.912820
118,17.852009,0.066640,3.707085,0.928283
119,15.515081,0.092230,3.288024,0.728536
120,16.760458,0.085398,3.888064,1.165759
121,13.293956,0.089523,2.991342,0.177869
122,10.951925,0.067409,3.560650,1.683466
123,16.773768,0.067913,2.404380,0.900535
124,8.915101,0.086267,2.427934,0.985582
125,7.766468,0.072175,3.557092,0.812419
126,13.540155,0.084836,3.182094,0.609047
127,11.735611,0.063640,2.348210,0.517987
128,8.261266,0.082017,3.518253,0.366782
129,11.643680,0.086457,2.586317,0.853617
130,17.580750,0.095284,3.228022,0.278661
131,12.703763,0.080855,2.934264,0.686454
132,18.469925,0.077574,3.166952,0.953615
133,19.155792,0.076876,2.823402,0.828682
134,9.718934,0.090733,3.554428,1.025493
135,11.917599,0.072336,2.609741,0.632957
136,11.373974,0.072243,4.317844,0.614824
137,12.011601,0.088945,3.346005,0.909203
138,10.363032,0.075482,2.572805,0.560489
139,14.617006,0.102275,3.799662,1.599200
140,17.435704,0.068298,2.645997,0.556103
141,14.163774,0.076535,3.143966,0.772497
142,8.748123,0.071802,3.221743,1.087898
143,11.138902,0.109574,3.726379,1.407294
144,19.711408,0.091458,1.900966,0.538807
145,25.871320,0.079106,3.166542,0.577741
146,20.423948,0.083752,3.210110,0.566478
147,13.450713,0.092779,3.527694,0.209859
148,11.820347,0.079457,3.279593,0.276640
149,8.788487,0.090614,2.825667,0.806256
150,15.565282,0.081436,3.317071,0.960642
151,16.777772,0.085185,2.268686,0.288149
152,10.536751,0.070099,2.817409,0.173533
153,10.915121,0.092877,3.227623,0.691631
154,21.973087,0.103049,3.031175,1.185616
155,18.941216,0.111848,2.504630,0.264043
156,15.462801,0.078879,3.368274,1.272145
157,22.730887,0.076376,3.189231,0.732535
158,16.562914,0.092474,3.325346,1.479814
159,16.890937,0.079558,3.464885,1.311389
160,14.841981,0.098275,2.785549,0.518246
161,15.222014,0.077040,2.720331,0.188728
162,11.148687,0.069920,3.679489,0.961669
163,7.987368,0.078765,2.759373,0.738229
164,10.806966,0.087865,3.614074,0.961679
165,18.350419,0.067917,3.644671,0.675263
166,16.724422,0.085290,3.933688,0.905476
167,13.634485,0.090654,3.668815,1.808336
168,8.780817,0.069727,3.355475,0.712145
169,11.819139,0.085843,3.362728,1.129404
170,12.665739,0.067555,3.152349,1.037209
171,15.268603,0.067843,2.346703,0.180359
172,14.632207,0.075764,2.529212,0.355791
173,8.520943,0.074138,2.693916,0.490511
174,9.364652,0.066890,3.457873,1.064736
175,13.591758,0.078796,2.114095,0.468054
176,8.619885,0.077919,3.277948,0.341331
177,8.955493,0.077620,2.943454,0.725936
178,11.036929,0.090408,3.214093,1.474665
179,12.602861,0.082908,3.435842,1.267047
180,10.708429,0.081542,3.134708,0.957153
181,18.454446,0.107842,4.334729,1.485425
